first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Daunte,Culpepper,Daunte Culpepper,01/28/1977,CulpDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Central Florida""]",MIN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,0,0,0,,,,,6,9,2.0,6.0,0,0,0,0,,0.0,3,6,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,2652,1,0,34,0,24153,149
Daunte,Culpepper,Daunte Culpepper,01/28/1977,CulpDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Central Florida""]",MIN,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,338,3937,33,16,78,,98.0,62.7,470,27,5.3,29.4,7,0,0,0,,0.0,89,470,7,11,61,0,30,0,0,,61,2,3,380,3,67.1,68,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,2652,1,0,34,0,24153,149
Daunte,Culpepper,Daunte Culpepper,01/28/1977,CulpDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Central Florida""]",MIN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,202,2612,14,13,57,,83.3,64.2,416,34,5.9,37.8,5,1,0,0,,0.0,72,416,5,16,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,2652,1,0,34,0,24153,149
Daunte,Culpepper,Daunte Culpepper,01/28/1977,CulpDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Central Florida""]",MIN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,285,3853,18,23,61,,75.3,60.7,609,38,5.7,38.1,10,0,0,0,,0.0,106,609,10,23,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,2652,1,0,34,0,24153,149
Daunte,Culpepper,Daunte Culpepper,01/28/1977,CulpDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Central Florida""]",MIN,PB AP CPoY-8,QB,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,273,3479,25,11,59,,96.4,65.0,422,42,5.8,30.1,4,0,0,0,,0.0,73,422,4,16,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,2652,1,0,34,0,24153,149
Daunte,Culpepper,Daunte Culpepper,01/28/1977,CulpDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Central Florida""]",MIN,PB AP OPoY-2,QB,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,371,4717,39,11,82,,110.9,69.2,406,16,4.6,25.4,2,0,0,0,,0.0,88,406,2,9,72,1,27,0,0,,72,1,2,600,5,94.3,68,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,2652,1,0,34,0,24153,149
Daunte,Culpepper,Daunte Culpepper,01/28/1977,CulpDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Central Florida""]",MIN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,79,1564,6,12,68,,72.0,64.4,147,18,6.1,21.0,1,0,0,0,,0.0,24,147,1,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,2652,1,0,34,0,24153,149
Daunte,Culpepper,Daunte Culpepper,01/28/1977,CulpDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Central Florida""]",MIA,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,929,2,3,52,18.3,77.0,60.4,20,7,2.0,5.0,1,0,0,0,,0.0,10,20,1,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,2652,1,0,34,0,24153,149
Daunte,Culpepper,Daunte Culpepper,01/28/1977,CulpDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2007,"[""Central Florida""]",OAK,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,79,1331,5,5,59,49.4,78.0,58.1,40,9,2.0,5.7,3,0,0,0,,0.0,20,40,3,9,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,2652,1,0,34,0,24153,149
Daunte,Culpepper,Daunte Culpepper,01/28/1977,CulpDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""Central Florida""]",DET,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,42,786,4,6,70,26.7,63.9,52.2,25,9,2.1,5.0,1,0,0,0,,0.0,12,25,1,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,2652,1,0,34,0,24153,149
Daunte,Culpepper,Daunte Culpepper,01/28/1977,CulpDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2009,"[""Central Florida""]",DET,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,945,3,6,38,35.9,64.8,56.7,91,32,5.1,11.4,0,0,0,0,,0.0,18,91,0,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,2652,1,0,34,0,24153,149
