first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,1985,"[""UNLV""]",PHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,27,548,1,8,69,,29.8,42.0,205,37,7.1,34.2,0,0,0,0,,0.0,29,205,0,3,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,1986,"[""UNLV""]",PHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,151,1391,8,7,75,,72.9,53.1,540,20,8.2,36.0,5,0,0,0,,0.0,66,540,5,7,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,1987,"[""UNLV""]",PHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,236,2786,23,12,70,,83.0,54.9,505,45,6.6,42.1,3,1,-3,0,-3,-0.3,77,502,3,12,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,1988,"[""UNLV""]",PHI,PB AP-2 AP MVP-2 OPoY-3,QB,false,true,true,true,true,true,false,false,false,false,false,false,false,true,true,false,303,3808,24,16,80,,77.6,53.8,624,33,6.7,39.0,6,0,0,0,,0.0,93,624,6,12,12,0,11,0,0,,12,0,3,407,0,52.0,65,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,1989,"[""UNLV""]",PHI,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,259,3400,21,15,66,,75.5,54.5,621,51,6.0,38.8,4,0,0,0,,0.0,104,621,4,17,39,0,11,0,0,,39,0,1,238,0,66.5,30,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,1990,"[""UNLV""]",PHI,PB AP MVP-2 OPoY-2,QB,false,false,false,true,true,true,false,false,false,false,false,false,false,true,true,false,348,3466,30,13,95,,91.6,58.3,942,52,8.0,58.9,5,0,0,0,,0.0,118,942,5,9,80,0,26,0,0,,80,0,1,205,0,60.3,66,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,1991,"[""UNLV""]",PHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,19,0,0,19,,46.9,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,1992,"[""UNLV""]",PHI,AP-2,QB,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,237,2775,19,11,75,,87.3,60.7,549,30,6.3,36.6,5,0,0,0,,0.0,87,549,5,13,41,0,15,0,0,,41,2,0,379,3,87.9,57,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,1993,"[""UNLV""]",PHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,58,850,5,5,80,,88.1,69.1,110,26,6.1,27.5,1,0,0,0,,0.0,18,110,1,3,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,1994,"[""UNLV""]",PHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,208,3229,16,13,93,,74.4,54.1,288,22,4.4,20.6,3,0,0,0,,0.0,65,288,3,10,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,1995,"[""UNLV""]",PHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,34,605,3,5,33,,61.5,57.0,98,20,4.7,14.0,0,0,0,0,,0.0,21,98,0,3,34,1,16,0,0,,34,0,1,161,0,47.1,28,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,1996,"[""UNLV""]",Did not play - Retired,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,1997,"[""UNLV""]",MIN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,51,501,6,4,34,,71.3,50.0,127,28,6.7,21.2,0,0,0,0,,0.0,19,127,0,4,52,0,12,0,0,,52,4,2,534,4,74.1,66,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,1998,"[""UNLV""]",MIN,PB AP-1 AP MVP-2 OPoY-2 CPoY-2,QB,true,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,287,3704,34,10,67,,106.0,60.9,132,22,4.1,8.8,1,1,-3,0,-3,-0.2,33,129,1,2,19,1,7,0,0,,19,3,1,502,5,97.7,39,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,1999,"[""UNLV""]",MIN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,75,1475,8,9,61,,79.1,62.0,58,14,5.8,9.7,0,0,0,0,,0.0,10,58,0,2,-4,0,-1,0,0,,-4,0,0,0,0,,,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,2000,"[""UNLV""]",DAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,65,849,6,4,76,,82.4,59.2,89,19,3.9,14.8,1,0,0,0,,0.0,23,89,1,4,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
Randall,Cunningham,Randall Cunningham,03/27/1963,CunnRa00,https://www.pro-football-reference.com/req/20230307/images/headshots/CunnRa00_USAT_1990.jpg,2001,"[""UNLV""]",BAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,43,573,3,2,30,,81.3,60.7,40,15,2.9,6.7,1,0,0,0,,0.0,14,40,1,4,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,true,true,true,true,true,true,false,4928,2,-6,35,0,29979,207
