first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Sam,Cunningham,Sam Cunningham,08/15/1950,CunnSa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1973,"[""USC""]",NWE,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,86,,,,,,,,516,25,3.3,36.9,4,15,144,1,34,10.3,170,660,5,10,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,5453,210,1905,43,6,0,0
Sam,Cunningham,Sam Cunningham,08/15/1950,CunnSa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1974,"[""USC""]",NWE,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,167,,,,,,,,811,75,4.9,81.1,9,22,214,2,37,21.4,188,1025,11,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,5453,210,1905,43,6,0,0
Sam,Cunningham,Sam Cunningham,08/15/1950,CunnSa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1975,"[""USC""]",NWE,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,128,,,,,,,,666,17,3.9,51.2,6,32,253,2,24,19.5,201,919,8,12,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,5453,210,1905,43,6,0,0
Sam,Cunningham,Sam Cunningham,08/15/1950,CunnSa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1976,"[""USC""]",NWE,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,125,,,,,,,,824,24,4.8,74.9,3,27,299,0,41,27.2,199,1123,3,5,68,0,22,14,0,7,82,1,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,5453,210,1905,43,6,0,0
Sam,Cunningham,Sam Cunningham,08/15/1950,CunnSa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1977,"[""USC""]",NWE,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,159,,,,,,,,1015,31,3.8,72.5,4,42,370,1,35,26.4,312,1385,5,10,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,5453,210,1905,43,6,0,0
Sam,Cunningham,Sam Cunningham,08/15/1950,CunnSa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1978,"[""USC""]",NWE,PB,FB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,151,,,,,,,,768,52,3.9,48.0,8,31,297,0,31,18.6,230,1065,8,4,42,0,8,28,0,15,70,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,5453,210,1905,43,6,0,0
Sam,Cunningham,Sam Cunningham,08/15/1950,CunnSa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""USC""]",NWE,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,106,,,,,,,,563,27,3.5,46.9,5,29,236,0,20,19.7,188,799,5,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,5453,210,1905,43,6,0,0
Sam,Cunningham,Sam Cunningham,08/15/1950,CunnSa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""USC""]",Did not play - Contract dispute,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,5453,210,1905,43,6,0,0
Sam,Cunningham,Sam Cunningham,08/15/1950,CunnSa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""USC""]",NWE,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,58,,,,,,,,269,12,3.1,24.5,4,12,92,0,12,8.4,98,361,4,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,5453,210,1905,43,6,0,0
Sam,Cunningham,Sam Cunningham,08/15/1950,CunnSa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1982,"[""USC""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,,,,,,,,21,4,2.3,3.5,0,0,0,0,,0.0,9,21,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,5453,210,1905,43,6,0,0
