first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Stephen,Davis,Stephen Davis,03/01/1974,DaviSt00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1996,"[""Auburn""]",WAS,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,26,,,,,,,,139,39,6.0,11.6,2,0,0,0,,0.0,23,139,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,8052,179,1494,65,4,0,0
Stephen,Davis,Stephen Davis,03/01/1974,DaviSt00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""Auburn""]",WAS,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,86,,,,,,,,567,18,4.0,40.5,3,18,134,0,19,9.6,159,701,3,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,8052,179,1494,65,4,0,0
Stephen,Davis,Stephen Davis,03/01/1974,DaviSt00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""Auburn""]",WAS,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,49,,,,,,,,109,12,3.2,6.8,0,21,263,2,30,16.4,55,372,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,8052,179,1494,65,4,0,0
Stephen,Davis,Stephen Davis,03/01/1974,DaviSt00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Auburn""]",WAS,PB AP-2 AP CPoY-9,RB,false,true,true,true,false,false,false,false,false,false,false,true,false,false,false,false,254,,,,,,,,1405,76,4.8,100.4,17,23,111,0,21,7.9,313,1516,17,4,156,2,58,26,0,15,182,2,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,8052,179,1494,65,4,0,0
Stephen,Davis,Stephen Davis,03/01/1974,DaviSt00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Auburn""]",WAS,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,221,,,,,,,,1318,50,4.0,87.9,11,33,313,0,39,20.9,365,1631,11,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,8052,179,1494,65,4,0,0
Stephen,Davis,Stephen Davis,03/01/1974,DaviSt00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Auburn""]",WAS,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,190,,,,,,,,1432,32,4.0,89.5,5,28,205,0,29,12.8,384,1637,5,6,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,8052,179,1494,65,4,0,0
Stephen,Davis,Stephen Davis,03/01/1974,DaviSt00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Auburn""]",WAS,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,136,,,,,,,,820,33,4.0,68.3,7,23,142,1,14,11.8,230,962,8,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,8052,179,1494,65,4,0,0
Stephen,Davis,Stephen Davis,03/01/1974,DaviSt00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Auburn""]",CAR,PB AP CPoY-4,RB,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,202,,,,,,,,1444,40,4.5,103.1,8,14,159,0,25,11.4,332,1603,8,3,315,1,64,23,0,21,338,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,8052,179,1494,65,4,0,0
Stephen,Davis,Stephen Davis,03/01/1974,DaviSt00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Auburn""]",CAR,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,12,,,,,,,,92,12,3.8,46.0,0,2,32,0,22,16.0,26,124,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,8052,179,1494,65,4,0,0
Stephen,Davis,Stephen Davis,03/01/1974,DaviSt00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Auburn""]",CAR,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,131,,,,,,,,549,39,3.1,42.2,12,5,45,0,21,3.5,185,594,12,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,8052,179,1494,65,4,0,0
Stephen,Davis,Stephen Davis,03/01/1974,DaviSt00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Auburn""]",STL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,31,,,,,,,,177,16,4.4,11.8,0,12,90,1,18,6.0,52,267,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,8052,179,1494,65,4,0,0
