first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Trent,Dilfer,Trent Dilfer,03/13/1972,DilfTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1994,"[""Fresno St.""]",TAM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,10,433,1,6,42,,36.3,46.3,27,15,13.5,5.4,0,0,0,0,,0.0,2,27,0,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,853,2,-6,5,0,20518,113
Trent,Dilfer,Trent Dilfer,03/13/1972,DilfTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1995,"[""Fresno St.""]",TAM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,102,2774,4,18,64,,60.1,54.0,115,21,5.0,7.2,2,0,0,0,,0.0,23,115,2,13,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,853,2,-6,5,0,20518,113
Trent,Dilfer,Trent Dilfer,03/13/1972,DilfTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1996,"[""Fresno St.""]",TAM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,131,2859,12,19,45,,64.8,55.4,124,19,3.9,7.8,0,0,0,0,,0.0,32,124,0,10,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,853,2,-6,5,0,20518,113
Trent,Dilfer,Trent Dilfer,03/13/1972,DilfTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""Fresno St.""]",TAM,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,178,2555,21,11,59,,82.8,56.2,99,17,3.0,6.2,1,0,0,0,,0.0,33,99,1,9,0,0,,0,0,,0,0,3,381,1,45.2,52,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,853,2,-6,5,0,20518,113
Trent,Dilfer,Trent Dilfer,03/13/1972,DilfTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""Fresno St.""]",TAM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,185,2729,21,15,79,,74.0,52.4,141,17,3.5,8.8,2,0,0,0,,0.0,40,141,2,9,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,853,2,-6,5,0,20518,113
Trent,Dilfer,Trent Dilfer,03/13/1972,DilfTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Fresno St.""]",TAM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,91,1619,11,11,62,,75.8,59.8,144,28,4.1,14.4,0,0,0,0,,0.0,35,144,0,6,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,853,2,-6,5,0,20518,113
Trent,Dilfer,Trent Dilfer,03/13/1972,DilfTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Fresno St.""]",BAL,AP CPoY-3,QB,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,89,1502,12,11,59,,76.6,59.3,75,19,3.8,6.8,0,1,-1,0,-1,-0.1,21,74,0,8,7,0,6,0,0,,7,3,1,590,3,83.7,96,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,853,2,-6,5,0,20518,113
Trent,Dilfer,Trent Dilfer,03/13/1972,DilfTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Fresno St.""]",SEA,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,64,1014,7,4,54,,92.0,59.8,17,11,1.5,2.8,0,1,-5,0,-5,-0.8,12,12,0,3,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,853,2,-6,5,0,20518,113
Trent,Dilfer,Trent Dilfer,03/13/1972,DilfTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Fresno St.""]",SEA,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,52,1182,4,6,83,,71.1,56.0,27,13,2.7,4.5,0,0,0,0,,0.0,10,27,0,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,853,2,-6,5,0,20518,113
Trent,Dilfer,Trent Dilfer,03/13/1972,DilfTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Fresno St.""]",SEA,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,31,1,1,14,,59.9,50.0,-1,,-0.5,-0.2,0,0,0,0,,0.0,2,-1,0,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,853,2,-6,5,0,20518,113
