first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Corey,Dillon,Corey Dillon,10/24/1974,DillCo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""Washington""]",CIN,AP ORoY-2,RB,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,199,,,,,,,,1129,75,4.8,70.6,10,27,259,0,28,16.2,260,1388,10,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,11241,244,1913,82,7,0,0
Corey,Dillon,Corey Dillon,10/24/1974,DillCo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""Washington""]",CIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,157,,,,,,,,1130,66,4.3,75.3,4,28,178,1,41,11.9,290,1308,5,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,11241,244,1913,82,7,0,0
Corey,Dillon,Corey Dillon,10/24/1974,DillCo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Washington""]",CIN,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,181,,,,,,,,1200,50,4.6,80.0,5,31,290,1,23,19.3,294,1490,6,3,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,11241,244,1913,82,7,0,0
Corey,Dillon,Corey Dillon,10/24/1974,DillCo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Washington""]",CIN,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,195,,,,,,,,1435,80,4.6,89.7,7,18,158,0,31,9.9,333,1593,7,4,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,11241,244,1913,82,7,0,0
Corey,Dillon,Corey Dillon,10/24/1974,DillCo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Washington""]",CIN,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,224,0,0,1,,,0.0,0.0,1315,96,3.9,82.2,10,34,228,3,17,14.3,374,1543,13,5,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,11241,244,1913,82,7,0,0
Corey,Dillon,Corey Dillon,10/24/1974,DillCo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Washington""]",CIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,199,,,,,,,,1311,67,4.2,81.9,7,43,298,0,19,18.6,357,1609,7,5,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,11241,244,1913,82,7,0,0
Corey,Dillon,Corey Dillon,10/24/1974,DillCo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Washington""]",CIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,73,,,,,,,,541,39,3.9,41.6,2,11,71,0,14,5.5,149,612,2,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,11241,244,1913,82,7,0,0
Corey,Dillon,Corey Dillon,10/24/1974,DillCo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Washington""]",NWE,PB AP CPoY-5,RB,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,246,,,,,,,,1635,44,4.7,109.0,12,15,103,1,20,6.9,360,1738,13,5,292,2,42,53,0,16,345,0,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,11241,244,1913,82,7,0,0
Corey,Dillon,Corey Dillon,10/24/1974,DillCo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Washington""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,167,,,,,,,,733,29,3.5,61.1,12,22,181,1,25,15.1,231,914,13,1,97,0,17,21,0,12,118,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,11241,244,1913,82,7,0,0
Corey,Dillon,Corey Dillon,10/24/1974,DillCo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Washington""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,170,,,,,,,,812,50,4.1,50.8,13,15,147,0,52,9.2,214,959,13,2,119,2,35,0,0,,119,1,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,11241,244,1913,82,7,0,0
