first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Al,Dixon,Al Dixon,04/05/1954,DixoAl00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1977,"[""Iowa St.""]",NYG,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,,,,,,,,0,,,0.0,0,6,78,0,21,9.8,6,78,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-5,84,1248,0,8,0,0
Al,Dixon,Al Dixon,04/05/1954,DixoAl00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1978,"[""Iowa St.""]",NYG,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,55,,,,,,,,0,,,0.0,0,18,376,3,47,25.1,18,376,3,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-5,84,1248,0,8,0,0
Al,Dixon,Al Dixon,04/05/1954,DixoAl00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""Iowa St.""]",2TM,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,,,,,,,,0,,,0.0,0,2,18,0,11,2.3,2,18,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-5,84,1248,0,8,0,0
Al,Dixon,Al Dixon,04/05/1954,DixoAl00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""Iowa St.""]",KAN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-5,84,1248,0,8,0,0
Al,Dixon,Al Dixon,04/05/1954,DixoAl00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""Iowa St.""]",NYG,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,,,,,,,,0,,,0.0,0,2,18,0,11,3.6,2,18,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-5,84,1248,0,8,0,0
Al,Dixon,Al Dixon,04/05/1954,DixoAl00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""Iowa St.""]",KAN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,17,,,,,,,,0,,,0.0,0,7,115,1,32,9.6,7,115,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-5,84,1248,0,8,0,0
Al,Dixon,Al Dixon,04/05/1954,DixoAl00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""Iowa St.""]",KAN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,,,,,,,,-5,-5,-5.0,-0.3,0,29,356,2,48,22.3,30,351,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-5,84,1248,0,8,0,0
Al,Dixon,Al Dixon,04/05/1954,DixoAl00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1982,"[""Iowa St.""]",KAN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,37,,,,,,,,0,,,0.0,0,18,251,2,37,31.4,18,251,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-5,84,1248,0,8,0,0
Al,Dixon,Al Dixon,04/05/1954,DixoAl00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Iowa St.""]",PHI,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,,,,,,,,0,,,0.0,0,4,54,0,22,5.4,4,54,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-5,84,1248,0,8,0,0
Al,Dixon,Al Dixon,04/05/1954,DixoAl00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Iowa St.""]",SFO,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-5,84,1248,0,8,0,0
