first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Zachary,Dixon,Zachary Dixon,03/05/1956,DixoZa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""Temple""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,9,7,3.0,1.1,0,0,0,0,,0.0,3,9,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,732,41,367,3,1,0,0
Zachary,Dixon,Zachary Dixon,03/05/1956,DixoZa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""Temple""]",DEN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,9,7,3.0,1.8,0,0,0,0,,0.0,3,9,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,732,41,367,3,1,0,0
Zachary,Dixon,Zachary Dixon,03/05/1956,DixoZa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""Temple""]",NYG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,732,41,367,3,1,0,0
Zachary,Dixon,Zachary Dixon,03/05/1956,DixoZa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""Temple""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,8,5,4.0,1.3,0,1,5,0,5,0.8,3,13,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,732,41,367,3,1,0,0
Zachary,Dixon,Zachary Dixon,03/05/1956,DixoZa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""Temple""]",BAL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,732,41,367,3,1,0,0
Zachary,Dixon,Zachary Dixon,03/05/1956,DixoZa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""Temple""]",PHI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,8,5,4.0,1.6,0,1,5,0,5,1.0,3,13,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,732,41,367,3,1,0,0
Zachary,Dixon,Zachary Dixon,03/05/1956,DixoZa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""Temple""]",BAL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,50,,,,,,,,285,41,3.9,17.8,0,17,169,1,41,10.6,90,454,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,732,41,367,3,1,0,0
Zachary,Dixon,Zachary Dixon,03/05/1956,DixoZa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1982,"[""Temple""]",BAL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,,,,,,,,249,32,4.3,27.7,1,20,185,0,24,20.6,78,434,1,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,732,41,367,3,1,0,0
Zachary,Dixon,Zachary Dixon,03/05/1956,DixoZa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Temple""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,,,,,,,,32,7,3.6,2.1,0,1,2,0,2,0.1,10,34,0,1,28,0,10,0,0,,28,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,732,41,367,3,1,0,0
Zachary,Dixon,Zachary Dixon,03/05/1956,DixoZa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Temple""]",BAL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,,,,,,,,14,7,2.8,7.0,0,1,2,0,2,1.0,6,16,0,0,28,0,10,0,0,,28,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,732,41,367,3,1,0,0
