first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Phillip,Dorsett,Phillip Dorsett,01/05/1993,DorsPh00,https://www.pro-football-reference.com/req/20230307/images/headshots/DorsPh00_2023.jpg,2015,"[""Miami (FL)""]",IND,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,28,,,,,,,,17,11,5.7,1.5,0,18,225,1,35,20.5,21,242,1,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,84,151,2001,0,12,0,0
Phillip,Dorsett,Phillip Dorsett,01/05/1993,DorsPh00,https://www.pro-football-reference.com/req/20230307/images/headshots/DorsPh00_2023.jpg,2016,"[""Miami (FL)""]",IND,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,66,,,,,,,,10,7,5.0,0.7,0,33,528,2,64,35.2,35,538,2,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,84,151,2001,0,12,0,0
Phillip,Dorsett,Phillip Dorsett,01/05/1993,DorsPh00,https://www.pro-football-reference.com/req/20230307/images/headshots/DorsPh00_2023.jpg,2017,"[""Miami (FL)""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,20,,,,,,,,7,7,7.0,0.5,0,12,194,0,39,12.9,13,201,0,0,0,0,,50,0,31,50,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,84,151,2001,0,12,0,0
Phillip,Dorsett,Phillip Dorsett,01/05/1993,DorsPh00,https://www.pro-football-reference.com/req/20230307/images/headshots/DorsPh00_2023.jpg,2018,"[""Miami (FL)""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,50,,,,,,,,29,17,7.3,1.8,0,32,290,3,20,18.1,36,319,3,0,0,0,,70,2,29,70,0,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,84,151,2001,0,12,0,0
Phillip,Dorsett,Phillip Dorsett,01/05/1993,DorsPh00,https://www.pro-football-reference.com/req/20230307/images/headshots/DorsPh00_2023.jpg,2019,"[""Miami (FL)""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,72,,,,,,,,21,9,7.0,1.5,0,29,397,5,58,28.4,32,418,5,0,0,0,,6,0,6,6,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,84,151,2001,0,12,0,0
Phillip,Dorsett,Phillip Dorsett,01/05/1993,DorsPh00,https://www.pro-football-reference.com/req/20230307/images/headshots/DorsPh00_2023.jpg,2021,"[""Miami (FL)""]",3TM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,11,,,,,,,,0,,0.0,0.0,0,7,110,0,36,18.3,8,110,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,84,151,2001,0,12,0,0
Phillip,Dorsett,Phillip Dorsett,01/05/1993,DorsPh00,https://www.pro-football-reference.com/req/20230307/images/headshots/DorsPh00_2023.jpg,2021,"[""Miami (FL)""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,11,,,,,,,,0,,0.0,0.0,0,6,107,0,36,35.7,7,107,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,84,151,2001,0,12,0,0
Phillip,Dorsett,Phillip Dorsett,01/05/1993,DorsPh00,https://www.pro-football-reference.com/req/20230307/images/headshots/DorsPh00_2023.jpg,2021,"[""Miami (FL)""]",JAX,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,11,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,84,151,2001,0,12,0,0
Phillip,Dorsett,Phillip Dorsett,01/05/1993,DorsPh00,https://www.pro-football-reference.com/req/20230307/images/headshots/DorsPh00_2023.jpg,2021,"[""Miami (FL)""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,11,,,,,,,,0,,,0.0,0,1,3,0,3,1.5,1,3,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,84,151,2001,0,12,0,0
Phillip,Dorsett,Phillip Dorsett,01/05/1993,DorsPh00,https://www.pro-football-reference.com/req/20230307/images/headshots/DorsPh00_2023.jpg,2022,"[""Miami (FL)""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,32,0,0,0,,2.7,39.6,0.0,0,,,0.0,0,20,257,1,34,17.1,20,257,1,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,84,151,2001,0,12,0,0
