first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Kenyan,Drake,Kenyan Drake,01/26/1994,DrakKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/DrakKe00_2022.jpg,2016,"[""Alabama""]",MIA,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,,,,,,,,179,45,5.4,11.2,2,9,46,0,9,2.9,42,225,2,1,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3866,218,1655,33,8,0,0
Kenyan,Drake,Kenyan Drake,01/26/1994,DrakKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/DrakKe00_2022.jpg,2017,"[""Alabama""]",MIA,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,110,,,,,,,,644,66,4.8,40.3,3,32,239,1,47,14.9,165,883,4,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3866,218,1655,33,8,0,0
Kenyan,Drake,Kenyan Drake,01/26/1994,DrakKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/DrakKe00_2022.jpg,2018,"[""Alabama""]",MIA,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,153,,,,,,,,535,54,4.5,33.4,4,53,477,5,52,29.8,173,1012,9,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3866,218,1655,33,8,0,0
Kenyan,Drake,Kenyan Drake,01/26/1994,DrakKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/DrakKe00_2022.jpg,2019,"[""Alabama""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,164,,,,,,,,817,80,4.8,58.4,8,50,345,0,26,24.6,220,1162,8,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3866,218,1655,33,8,0,0
Kenyan,Drake,Kenyan Drake,01/26/1994,DrakKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/DrakKe00_2022.jpg,2019,"[""Alabama""]",ARI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,164,,,,,,,,643,80,5.2,80.4,8,28,171,0,21,21.4,151,814,8,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3866,218,1655,33,8,0,0
Kenyan,Drake,Kenyan Drake,01/26/1994,DrakKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/DrakKe00_2022.jpg,2019,"[""Alabama""]",MIA,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,164,,,,,,,,174,11,3.7,29.0,0,22,174,0,26,29.0,69,348,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3866,218,1655,33,8,0,0
Kenyan,Drake,Kenyan Drake,01/26/1994,DrakKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/DrakKe00_2022.jpg,2020,"[""Alabama""]",ARI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,167,,,,,,,,955,69,4.0,63.7,10,25,137,0,18,9.1,264,1092,10,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3866,218,1655,33,8,0,0
Kenyan,Drake,Kenyan Drake,01/26/1994,DrakKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/DrakKe00_2022.jpg,2021,"[""Alabama""]",LVR,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,73,,,,,,,,254,21,4.0,21.2,2,30,291,1,31,24.3,93,545,3,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3866,218,1655,33,8,0,0
Kenyan,Drake,Kenyan Drake,01/26/1994,DrakKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/DrakKe00_2022.jpg,2022,"[""Alabama""]",BAL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,87,,,,,,,,482,40,4.4,40.2,4,17,89,1,15,7.4,126,571,5,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3866,218,1655,33,8,0,0
Kenyan,Drake,Kenyan Drake,01/26/1994,DrakKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/DrakKe00_2022.jpg,2023,"[""Alabama""]",2TM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,0,,0.0,0.0,0,2,31,0,24,10.3,4,31,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3866,218,1655,33,8,0,0
Kenyan,Drake,Kenyan Drake,01/26/1994,DrakKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/DrakKe00_2022.jpg,2023,"[""Alabama""]",BAL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,0,,0.0,0.0,0,2,31,0,24,15.5,3,31,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3866,218,1655,33,8,0,0
Kenyan,Drake,Kenyan Drake,01/26/1994,DrakKe00,https://www.pro-football-reference.com/req/20230307/images/headshots/DrakKe00_2022.jpg,2023,"[""Alabama""]",GNB,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,0,,0.0,0.0,0,0,0,0,,0.0,1,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3866,218,1655,33,8,0,0
