first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Donald,Driver,Donald Driver,02/02/1975,DrivDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Alcorn St.""]",GNB,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9,,,,,,,,0,,,0.0,0,3,31,1,12,5.2,3,31,1,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,217,743,10137,1,61,0,0
Donald,Driver,Donald Driver,02/02/1975,DrivDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Alcorn St.""]",GNB,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,,,,,,,,4,4,4.0,0.3,0,21,322,1,49,20.1,22,326,1,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,217,743,10137,1,61,0,0
Donald,Driver,Donald Driver,02/02/1975,DrivDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Alcorn St.""]",GNB,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,,,,,,,,38,31,12.7,2.9,1,13,167,1,37,12.8,16,205,2,0,25,0,16,26,0,14,51,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,217,743,10137,1,61,0,0
Donald,Driver,Donald Driver,02/02/1975,DrivDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Alcorn St.""]",GNB,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,165,,,,,,,,70,17,8.8,4.4,0,70,1064,9,85,66.5,78,1134,9,1,0,0,,64,1,25,64,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,217,743,10137,1,61,0,0
Donald,Driver,Donald Driver,02/02/1975,DrivDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Alcorn St.""]",GNB,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,79,,,,,,,,51,45,10.2,3.4,0,52,621,2,41,41.4,57,672,2,0,0,0,,91,0,23,91,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,217,743,10137,1,61,0,0
Donald,Driver,Donald Driver,02/02/1975,DrivDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Alcorn St.""]",GNB,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,173,,,,,,,,4,14,1.3,0.3,0,84,1208,9,50,75.5,87,1212,9,2,0,0,,78,0,16,78,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,217,743,10137,1,61,0,0
Donald,Driver,Donald Driver,02/02/1975,DrivDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Alcorn St.""]",GNB,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,153,,,,,,,,13,9,6.5,0.8,0,86,1221,5,59,76.3,88,1234,5,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,217,743,10137,1,61,0,0
Donald,Driver,Donald Driver,02/02/1975,DrivDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Alcorn St.""]",GNB,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,179,,,,,,,,16,16,2.3,1.0,0,92,1295,8,82,80.9,99,1311,8,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,217,743,10137,1,61,0,0
Donald,Driver,Donald Driver,02/02/1975,DrivDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2007,"[""Alcorn St.""]",GNB,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,117,,,,,,,,4,5,2.0,0.3,0,82,1048,2,47,69.9,84,1052,2,1,0,0,,159,1,90,159,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,217,743,10137,1,61,0,0
Donald,Driver,Donald Driver,02/02/1975,DrivDo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""Alcorn St.""]",GNB,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,132,,,,,,,,4,6,2.0,0.3,0,74,1012,5,71,63.3,76,1016,5,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,217,743,10137,1,61,0,0
