first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Warrick,Dunn,Warrick Dunn,01/05/1975,DunnWa00,https://www.pro-football-reference.com/req/20230307/images/headshots/DunnWa00_USAT_2008.jpg,1997,"[""Florida St.""]",TAM,PB AP ORoY-1,RB,false,false,false,true,false,false,false,true,true,true,false,false,false,false,false,false,180,,,,,,,,978,76,4.4,61.1,4,39,462,3,59,28.9,263,1440,7,4,136,0,12,34,0,22,170,2,,,,,,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,10967,510,4339,49,15,0,0
Warrick,Dunn,Warrick Dunn,01/05/1975,DunnWa00,https://www.pro-football-reference.com/req/20230307/images/headshots/DunnWa00_USAT_2008.jpg,1998,"[""Florida St.""]",TAM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,149,,,,,,,,1026,50,4.2,64.1,2,44,344,0,31,21.5,289,1370,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,10967,510,4339,49,15,0,0
Warrick,Dunn,Warrick Dunn,01/05/1975,DunnWa00,https://www.pro-football-reference.com/req/20230307/images/headshots/DunnWa00_USAT_2008.jpg,1999,"[""Florida St.""]",TAM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,129,,,,,,,,616,33,3.2,41.1,0,64,589,2,68,39.3,259,1205,2,3,53,0,13,69,0,16,122,0,,,,,,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,10967,510,4339,49,15,0,0
Warrick,Dunn,Warrick Dunn,01/05/1975,DunnWa00,https://www.pro-football-reference.com/req/20230307/images/headshots/DunnWa00_USAT_2008.jpg,2000,"[""Florida St.""]",TAM,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,208,,,,,,,,1133,70,4.6,70.8,8,44,422,1,45,26.4,292,1555,9,1,1,0,4,28,0,12,29,0,,,,,,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,10967,510,4339,49,15,0,0
Warrick,Dunn,Warrick Dunn,01/05/1975,DunnWa00,https://www.pro-football-reference.com/req/20230307/images/headshots/DunnWa00_USAT_2008.jpg,2001,"[""Florida St.""]",TAM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,132,,,,,,,,447,21,2.8,34.4,3,68,557,3,31,42.8,226,1004,6,2,29,0,9,37,0,17,66,0,,,,,,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,10967,510,4339,49,15,0,0
Warrick,Dunn,Warrick Dunn,01/05/1975,DunnWa00,https://www.pro-football-reference.com/req/20230307/images/headshots/DunnWa00_USAT_2008.jpg,2002,"[""Florida St.""]",ATL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,178,,,,,,,,927,59,4.0,61.8,7,50,377,2,31,25.1,280,1304,9,4,109,0,21,96,0,20,205,0,,,,,,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,10967,510,4339,49,15,0,0
Warrick,Dunn,Warrick Dunn,01/05/1975,DunnWa00,https://www.pro-football-reference.com/req/20230307/images/headshots/DunnWa00_USAT_2008.jpg,2003,"[""Florida St.""]",ATL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,129,0,0,0,,,,,672,69,5.4,61.1,3,37,336,2,86,30.5,162,1008,5,2,,,,,,,,,,,,,,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,10967,510,4339,49,15,0,0
Warrick,Dunn,Warrick Dunn,01/05/1975,DunnWa00,https://www.pro-football-reference.com/req/20230307/images/headshots/DunnWa00_USAT_2008.jpg,2004,"[""Florida St.""]",ATL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,190,,,,,,,,1106,60,4.2,69.1,9,29,294,0,59,18.4,294,1400,9,3,201,3,62,6,0,4,207,0,0,2,0,79.2,2,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,10967,510,4339,49,15,0,0
Warrick,Dunn,Warrick Dunn,01/05/1975,DunnWa00,https://www.pro-football-reference.com/req/20230307/images/headshots/DunnWa00_USAT_2008.jpg,2005,"[""Florida St.""]",ATL,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,186,,,,,,,,1416,65,5.1,88.5,3,29,220,1,24,13.8,309,1636,4,3,,,,,,,,,,,,,,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,10967,510,4339,49,15,0,0
Warrick,Dunn,Warrick Dunn,01/05/1975,DunnWa00,https://www.pro-football-reference.com/req/20230307/images/headshots/DunnWa00_USAT_2008.jpg,2006,"[""Florida St.""]",ATL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,161,,,,,,,,1140,90,4.0,71.3,4,22,170,1,18,10.6,308,1310,5,1,,,,,,,,,,,,,,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,10967,510,4339,49,15,0,0
Warrick,Dunn,Warrick Dunn,01/05/1975,DunnWa00,https://www.pro-football-reference.com/req/20230307/images/headshots/DunnWa00_USAT_2008.jpg,2007,"[""Florida St.""]",ATL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,116,,,,,,,,720,38,3.2,45.0,4,37,238,0,35,14.9,264,958,4,2,,,,,,,,,,,,,,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,10967,510,4339,49,15,0,0
Warrick,Dunn,Warrick Dunn,01/05/1975,DunnWa00,https://www.pro-football-reference.com/req/20230307/images/headshots/DunnWa00_USAT_2008.jpg,2008,"[""Florida St.""]",TAM,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,124,,,,,,,,786,40,4.2,52.4,2,47,330,0,36,22.0,233,1116,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,10967,510,4339,49,15,0,0
