first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Mark,Duper,Mark Duper,01/25/1959,DupeMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1982,"[""Northwestern St. (LA)""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,-10,511,8869,0,59,0,0
Mark,Duper,Mark Duper,01/25/1959,DupeMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Northwestern St. (LA)""]",MIA,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,160,,,,,,,,0,,,0.0,0,51,1003,10,85,62.7,51,1003,10,0,0,0,,117,1,32,117,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,-10,511,8869,0,59,0,0
Mark,Duper,Mark Duper,01/25/1959,DupeMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Northwestern St. (LA)""]",MIA,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,179,,,,,,,,0,,,0.0,0,71,1306,8,80,81.6,71,1306,8,0,0,0,,191,2,41,191,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,-10,511,8869,0,59,0,0
Mark,Duper,Mark Duper,01/25/1959,DupeMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Northwestern St. (LA)""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,,,,,,,,0,,,0.0,0,35,650,3,67,72.2,35,650,3,1,0,0,,45,0,18,45,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,-10,511,8869,0,59,0,0
Mark,Duper,Mark Duper,01/25/1959,DupeMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Northwestern St. (LA)""]",MIA,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,196,,,,,,,,-10,-10,-10.0,-0.6,0,67,1313,11,85,82.1,68,1303,11,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,-10,511,8869,0,59,0,0
Mark,Duper,Mark Duper,01/25/1959,DupeMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Northwestern St. (LA)""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,108,,,,,,,,0,,,0.0,0,33,597,8,59,54.3,33,597,8,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,-10,511,8869,0,59,0,0
Mark,Duper,Mark Duper,01/25/1959,DupeMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Northwestern St. (LA)""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,,,,,,,,0,,,0.0,0,39,626,1,56,48.2,39,626,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,-10,511,8869,0,59,0,0
Mark,Duper,Mark Duper,01/25/1959,DupeMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Northwestern St. (LA)""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,78,,,,,,,,0,,,0.0,0,49,717,1,41,47.8,49,717,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,-10,511,8869,0,59,0,0
Mark,Duper,Mark Duper,01/25/1959,DupeMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Northwestern St. (LA)""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,110,,,,,,,,0,,,0.0,0,52,810,5,69,50.6,52,810,5,1,0,0,,149,1,64,149,1,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,-10,511,8869,0,59,0,0
Mark,Duper,Mark Duper,01/25/1959,DupeMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Northwestern St. (LA)""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,139,,,,,,,,0,,,0.0,0,70,1085,5,43,67.8,70,1085,5,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,-10,511,8869,0,59,0,0
