first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Tony,Eason,Tony Eason,10/08/1959,EasoTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Illinois""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,15,557,1,5,35,,48.4,48.4,39,12,2.1,2.4,0,0,0,0,,0.0,19,39,0,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,503,0,0,6,0,11142,61
Tony,Eason,Tony Eason,10/08/1959,EasoTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Illinois""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,244,3228,23,8,76,,93.4,60.1,154,25,3.9,9.6,5,0,0,0,,0.0,40,154,5,7,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,503,0,0,6,0,11142,61
Tony,Eason,Tony Eason,10/08/1959,EasoTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Illinois""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,105,2156,11,17,90,,67.5,56.2,70,23,3.2,4.4,1,0,0,0,,0.0,22,70,1,4,3,0,12,0,0,,3,1,0,367,5,119.0,39,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,503,0,0,6,0,11142,61
Tony,Eason,Tony Eason,10/08/1959,EasoTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Illinois""]",NWE,AP MVP-6,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,202,3328,19,10,49,,89.2,61.6,170,26,4.9,11.3,0,0,0,0,,0.0,35,170,0,4,23,0,13,0,0,,23,1,0,194,2,108.7,45,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,503,0,0,6,0,11142,61
Tony,Eason,Tony Eason,10/08/1959,EasoTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Illinois""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,28,453,3,2,45,,72.4,53.2,25,13,8.3,6.3,0,0,0,0,,0.0,3,25,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,503,0,0,6,0,11142,61
Tony,Eason,Tony Eason,10/08/1959,EasoTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Illinois""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,249,0,2,26,,61.1,65.1,18,10,3.6,9.0,0,0,0,0,,0.0,5,18,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,503,0,0,6,0,11142,61
Tony,Eason,Tony Eason,10/08/1959,EasoTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Illinois""]",2TM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,1016,4,6,63,,70.5,56.0,-2,,-0.7,-0.4,0,0,0,0,,0.0,3,-2,0,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,503,0,0,6,0,11142,61
Tony,Eason,Tony Eason,10/08/1959,EasoTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Illinois""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,761,3,4,45,,71.2,54.3,-2,,-1.0,-0.7,0,0,0,0,,0.0,2,-2,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,503,0,0,6,0,11142,61
Tony,Eason,Tony Eason,10/08/1959,EasoTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Illinois""]",NYJ,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,255,1,2,63,,68.6,61.1,0,,0.0,0.0,0,0,0,0,,0.0,1,0,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,503,0,0,6,0,11142,61
Tony,Eason,Tony Eason,10/08/1959,EasoTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Illinois""]",NYJ,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,155,0,1,31,,49.0,46.4,29,24,4.1,1.8,0,0,0,0,,0.0,7,29,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,503,0,0,6,0,11142,61
