first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Julian,Edelman,Julian Edelman,05/22/1986,EdelJu00,https://www.pro-football-reference.com/req/20230307/images/headshots/EdelJu00_2020.jpg,2009,"[""San Mateo"", ""Kent St.""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,42,,,,,,,,5,5,2.5,0.5,0,37,359,1,29,32.6,39,364,1,1,0,0,,44,2,24,44,0,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,413,620,6822,0,36,128,1
Julian,Edelman,Julian Edelman,05/22/1986,EdelJu00,https://www.pro-football-reference.com/req/20230307/images/headshots/EdelJu00_2020.jpg,2010,"[""San Mateo"", ""Kent St.""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,16,,,,,,,,14,13,7.0,0.9,0,7,86,0,40,5.7,9,100,0,1,11,0,11,12,0,12,23,0,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,413,620,6822,0,36,128,1
Julian,Edelman,Julian Edelman,05/22/1986,EdelJu00,https://www.pro-football-reference.com/req/20230307/images/headshots/EdelJu00_2020.jpg,2011,"[""San Mateo"", ""Kent St.""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,10,,,,,,,,8,6,2.0,0.6,0,4,34,0,11,2.6,8,42,0,3,-1,0,-1,19,0,11,18,0,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,413,620,6822,0,36,128,1
Julian,Edelman,Julian Edelman,05/22/1986,EdelJu00,https://www.pro-football-reference.com/req/20230307/images/headshots/EdelJu00_2020.jpg,2012,"[""San Mateo"", ""Kent St.""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,56,,,,,,,,45,47,11.3,5.0,0,21,235,3,56,26.1,25,280,3,1,,,,,,,,,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,413,620,6822,0,36,128,1
Julian,Edelman,Julian Edelman,05/22/1986,EdelJu00,https://www.pro-football-reference.com/req/20230307/images/headshots/EdelJu00_2020.jpg,2013,"[""San Mateo"", ""Kent St.""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,147,,,,,,,,11,7,5.5,0.7,0,105,1056,6,44,66.0,107,1067,6,6,0,0,,173,1,27,173,0,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,413,620,6822,0,36,128,1
Julian,Edelman,Julian Edelman,05/22/1986,EdelJu00,https://www.pro-football-reference.com/req/20230307/images/headshots/EdelJu00_2020.jpg,2014,"[""San Mateo"", ""Kent St.""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,137,,,,,,,,94,25,9.4,6.7,0,92,972,4,69,69.4,102,1066,4,3,19,0,12,281,1,23,300,2,0,51,1,158.3,51,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,413,620,6822,0,36,128,1
Julian,Edelman,Julian Edelman,05/22/1986,EdelJu00,https://www.pro-football-reference.com/req/20230307/images/headshots/EdelJu00_2020.jpg,2015,"[""San Mateo"", ""Kent St.""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,112,,,,,,,,23,12,7.7,2.6,0,61,692,7,59,76.9,64,715,7,1,11,0,11,153,0,19,164,0,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,413,620,6822,0,36,128,1
Julian,Edelman,Julian Edelman,05/22/1986,EdelJu00,https://www.pro-football-reference.com/req/20230307/images/headshots/EdelJu00_2020.jpg,2016,"[""San Mateo"", ""Kent St.""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,132,,,,,,,,57,9,4.8,3.6,0,98,1106,3,77,69.1,110,1163,3,3,14,0,12,342,1,48,356,0,0,0,0,39.6,,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,413,620,6822,0,36,128,1
Julian,Edelman,Julian Edelman,05/22/1986,EdelJu00,https://www.pro-football-reference.com/req/20230307/images/headshots/EdelJu00_2020.jpg,2017,"[""San Mateo"", ""Kent St.""]",Did not play - Injured (torn ACL),,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,413,620,6822,0,36,128,1
Julian,Edelman,Julian Edelman,05/22/1986,EdelJu00,https://www.pro-football-reference.com/req/20230307/images/headshots/EdelJu00_2020.jpg,2018,"[""San Mateo"", ""Kent St.""]",NWE,SB MVP,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,133,43,0,0,37,93.9,118.7,100.0,107,20,11.9,8.9,0,74,850,6,36,70.8,83,957,6,1,15,0,8,388,0,35,403,0,,,,,,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,413,620,6822,0,36,128,1
