first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Braylon,Edwards,Braylon Edwards,02/21/1983,EdwaBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Michigan""]",CLE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,,,,,,,,0,,,0.0,0,32,512,3,80,51.2,32,512,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,11,359,5522,0,40,0,0
Braylon,Edwards,Braylon Edwards,02/21/1983,EdwaBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Michigan""]",CLE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,125,,,,,,,,7,8,2.3,0.4,0,61,884,6,75,55.3,64,891,6,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,11,359,5522,0,40,0,0
Braylon,Edwards,Braylon Edwards,02/21/1983,EdwaBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2007,"[""Michigan""]",CLE,PB AP-2,WR,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,221,,,,,,,,0,,,0.0,0,80,1289,16,78,80.6,80,1289,16,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,11,359,5522,0,40,0,0
Braylon,Edwards,Braylon Edwards,02/21/1983,EdwaBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""Michigan""]",CLE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,109,,,,,,,,0,,,0.0,0,55,873,3,70,54.6,55,873,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,11,359,5522,0,40,0,0
Braylon,Edwards,Braylon Edwards,02/21/1983,EdwaBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2009,"[""Michigan""]",2TM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,92,0,0,0,,,39.6,0.0,0,,,0.0,0,45,680,4,65,42.5,45,680,4,1,0,0,,156,1,80,156,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,11,359,5522,0,40,0,0
Braylon,Edwards,Braylon Edwards,02/21/1983,EdwaBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2009,"[""Michigan""]",CLE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,92,,,,,,,,0,,,0.0,0,10,139,0,24,34.8,10,139,0,0,0,0,,156,1,80,156,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,11,359,5522,0,40,0,0
Braylon,Edwards,Braylon Edwards,02/21/1983,EdwaBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2009,"[""Michigan""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,92,0,0,0,,,39.6,0.0,0,,,0.0,0,35,541,4,65,45.1,35,541,4,1,0,0,,156,1,80,156,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,11,359,5522,0,40,0,0
Braylon,Edwards,Braylon Edwards,02/21/1983,EdwaBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2010,"[""Michigan""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,133,,,,,,,,4,4,4.0,0.3,0,53,904,7,74,56.5,54,908,7,1,0,0,,164,1,37,164,1,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,11,359,5522,0,40,0,0
Braylon,Edwards,Braylon Edwards,02/21/1983,EdwaBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2011,"[""Michigan""]",SFO,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,18,,,,,,,,0,,,0.0,0,15,181,0,24,20.1,15,181,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,11,359,5522,0,40,0,0
Braylon,Edwards,Braylon Edwards,02/21/1983,EdwaBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2012,"[""Michigan""]",2TM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,26,,,,,,,,0,,,0.0,0,18,199,1,19,15.3,18,199,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,11,359,5522,0,40,0,0
Braylon,Edwards,Braylon Edwards,02/21/1983,EdwaBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2012,"[""Michigan""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,26,,,,,,,,0,,,0.0,0,10,125,0,19,41.7,10,125,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,11,359,5522,0,40,0,0
Braylon,Edwards,Braylon Edwards,02/21/1983,EdwaBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2012,"[""Michigan""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,26,,,,,,,,0,,,0.0,0,8,74,1,16,7.4,8,74,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,11,359,5522,0,40,0,0
