first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Henry,Ellard,Henry Ellard,07/21/1961,EllaHe00,https://ib.adnxs.com/getuid?https%3A%2F%2Fids.api.gcprivacy.id%2Fv4%2Fid%2Fxandr%3Fpid%3D6CP1D%26id%3D%24UID%26gcid%3D995614f9-b08d-452e-aa30-e4ae00913336,1983,"[""Fresno St.""]",RAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,32,,,,,,,,7,12,2.3,0.6,0,16,268,0,44,22.3,19,275,0,2,0,0,,61,0,22,61,1,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,50,814,13777,0,65,0,0
Henry,Ellard,Henry Ellard,07/21/1961,EllaHe00,https://ib.adnxs.com/getuid?https%3A%2F%2Fids.api.gcprivacy.id%2Fv4%2Fid%2Fxandr%3Fpid%3D6CP1D%26id%3D%24UID%26gcid%3D995614f9-b08d-452e-aa30-e4ae00913336,1984,"[""Fresno St.""]",RAM,PB AP-1,WR,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,106,,,,,,,,-5,5,-1.7,-0.3,0,34,622,6,63,38.9,37,617,6,4,0,0,,22,0,20,22,0,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,50,814,13777,0,65,0,0
Henry,Ellard,Henry Ellard,07/21/1961,EllaHe00,https://ib.adnxs.com/getuid?https%3A%2F%2Fids.api.gcprivacy.id%2Fv4%2Fid%2Fxandr%3Fpid%3D6CP1D%26id%3D%24UID%26gcid%3D995614f9-b08d-452e-aa30-e4ae00913336,1985,"[""Fresno St.""]",RAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,113,,,,,,,,8,16,2.7,0.5,0,54,811,5,64,50.7,57,819,5,5,0,0,,38,0,21,38,0,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,50,814,13777,0,65,0,0
Henry,Ellard,Henry Ellard,07/21/1961,EllaHe00,https://ib.adnxs.com/getuid?https%3A%2F%2Fids.api.gcprivacy.id%2Fv4%2Fid%2Fxandr%3Fpid%3D6CP1D%26id%3D%24UID%26gcid%3D995614f9-b08d-452e-aa30-e4ae00913336,1986,"[""Fresno St.""]",RAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,64,,,,,,,,-15,-15,-15.0,-1.7,0,34,447,4,34,49.7,35,432,4,3,0,0,,14,0,14,14,0,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,50,814,13777,0,65,0,0
Henry,Ellard,Henry Ellard,07/21/1961,EllaHe00,https://ib.adnxs.com/getuid?https%3A%2F%2Fids.api.gcprivacy.id%2Fv4%2Fid%2Fxandr%3Fpid%3D6CP1D%26id%3D%24UID%26gcid%3D995614f9-b08d-452e-aa30-e4ae00913336,1987,"[""Fresno St.""]",RAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,95,,,,,,,,4,4,4.0,0.3,0,51,799,3,81,66.6,52,803,3,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,50,814,13777,0,65,0,0
Henry,Ellard,Henry Ellard,07/21/1961,EllaHe00,https://ib.adnxs.com/getuid?https%3A%2F%2Fids.api.gcprivacy.id%2Fv4%2Fid%2Fxandr%3Fpid%3D6CP1D%26id%3D%24UID%26gcid%3D995614f9-b08d-452e-aa30-e4ae00913336,1988,"[""Fresno St.""]",RAM,PB AP-1,WR,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,199,,,,,,,,7,7,7.0,0.4,0,86,1414,10,68,88.4,87,1421,10,3,2,0,2,54,0,29,56,0,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,50,814,13777,0,65,0,0
Henry,Ellard,Henry Ellard,07/21/1961,EllaHe00,https://ib.adnxs.com/getuid?https%3A%2F%2Fids.api.gcprivacy.id%2Fv4%2Fid%2Fxandr%3Fpid%3D6CP1D%26id%3D%24UID%26gcid%3D995614f9-b08d-452e-aa30-e4ae00913336,1989,"[""Fresno St.""]",RAM,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,187,,,,,,,,10,6,5.0,0.7,0,70,1382,8,53,98.7,72,1392,8,0,0,0,,230,1,39,230,0,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,50,814,13777,0,65,0,0
Henry,Ellard,Henry Ellard,07/21/1961,EllaHe00,https://ib.adnxs.com/getuid?https%3A%2F%2Fids.api.gcprivacy.id%2Fv4%2Fid%2Fxandr%3Fpid%3D6CP1D%26id%3D%24UID%26gcid%3D995614f9-b08d-452e-aa30-e4ae00913336,1990,"[""Fresno St.""]",RAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,152,,,,,,,,21,13,10.5,1.4,0,76,1294,4,50,86.3,78,1315,4,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,50,814,13777,0,65,0,0
Henry,Ellard,Henry Ellard,07/21/1961,EllaHe00,https://ib.adnxs.com/getuid?https%3A%2F%2Fids.api.gcprivacy.id%2Fv4%2Fid%2Fxandr%3Fpid%3D6CP1D%26id%3D%24UID%26gcid%3D995614f9-b08d-452e-aa30-e4ae00913336,1991,"[""Fresno St.""]",RAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,122,,,,,,,,0,,,0.0,0,64,1052,3,38,65.8,64,1052,3,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,50,814,13777,0,65,0,0
Henry,Ellard,Henry Ellard,07/21/1961,EllaHe00,https://ib.adnxs.com/getuid?https%3A%2F%2Fids.api.gcprivacy.id%2Fv4%2Fid%2Fxandr%3Fpid%3D6CP1D%26id%3D%24UID%26gcid%3D995614f9-b08d-452e-aa30-e4ae00913336,1992,"[""Fresno St.""]",RAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,91,,,,,,,,0,,,0.0,0,47,727,3,33,45.4,47,727,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,50,814,13777,0,65,0,0
