first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1983,"[""Stanford""]",DEN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,81,1663,7,14,49,,54.9,47.5,146,23,5.2,13.3,1,0,0,0,,0.0,28,146,1,6,16,0,6,0,0,,16,0,1,123,0,64.0,31,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1984,"[""Stanford""]",DEN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,162,2598,18,15,73,,76.8,56.3,237,21,4.2,15.8,1,0,0,0,,0.0,56,237,1,14,16,0,13,0,0,,16,1,2,184,2,61.1,21,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1985,"[""Stanford""]",DEN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,216,3891,22,23,65,,70.2,54.0,253,22,5.0,15.8,0,0,0,0,,0.0,51,253,0,7,,,,,,,,,,,,,,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1986,"[""Stanford""]",DEN,PB AP MVP-5 OPoY-5,QB,false,false,false,true,true,true,false,false,false,false,false,false,false,true,true,false,221,3485,19,13,53,,79.0,55.6,257,24,4.9,16.1,1,1,23,1,23,1.4,53,280,2,8,101,2,34,0,0,,101,1,4,805,3,71.6,54,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1987,"[""Stanford""]",DEN,PB AP-2 AP MVP-1 OPoY-3,QB,false,true,true,true,true,true,false,false,false,false,false,false,false,true,true,true,232,3198,19,12,72,,83.4,54.6,304,29,4.6,25.3,4,0,0,0,,0.0,66,304,4,2,76,1,21,23,0,23,99,1,5,797,6,77.8,80,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1988,"[""Stanford""]",DEN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,185,3309,17,19,86,,71.4,55.2,234,26,4.3,15.6,1,0,0,0,,0.0,54,234,1,7,,,,,,,,,,,,,,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1989,"[""Stanford""]",DEN,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,191,3051,18,18,69,,73.7,53.6,244,31,5.1,16.3,3,0,0,0,,0.0,48,244,3,9,91,1,32,0,0,,91,0,3,732,4,83.0,70,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1990,"[""Stanford""]",DEN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,209,3526,15,14,66,,78.5,58.6,258,21,5.2,16.1,3,0,0,0,,0.0,50,258,3,8,,,,,,,,,,,,,,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1991,"[""Stanford""]",DEN,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,210,3253,13,12,71,,75.4,53.7,255,17,4.6,15.9,6,1,24,0,24,1.5,56,279,6,12,49,0,15,0,0,,49,2,2,378,1,68.3,44,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1992,"[""Stanford""]",DEN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,105,2242,10,17,80,,65.7,55.1,94,9,2.8,7.8,2,0,0,0,,0.0,34,94,2,12,,,,,,,,,,,,,,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1993,"[""Stanford""]",DEN,PB AP-2 AP MVP-4 OPoY-4,QB,false,true,true,true,true,true,false,false,false,false,false,false,false,true,true,false,249,4030,25,10,63,,92.8,63.2,153,18,3.5,9.6,0,0,0,0,,0.0,44,153,0,8,23,0,6,0,0,,23,1,1,302,3,92.7,25,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1994,"[""Stanford""]",DEN,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,221,3490,16,10,63,,85.7,62.1,235,22,4.1,16.8,4,0,0,0,,0.0,58,235,4,11,,,,,,,,,,,,,,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1995,"[""Stanford""]",DEN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,250,3970,26,14,62,,86.4,58.3,176,25,4.3,11.0,1,0,0,0,,0.0,41,176,1,9,,,,,,,,,,,,,,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1996,"[""Stanford""]",DEN,PB AP-2 AP MVP-2 OPoY-3,QB,false,true,true,true,true,true,false,false,false,false,false,false,false,true,true,false,250,3328,26,14,51,,89.2,61.6,249,22,5.0,16.6,4,0,0,0,,0.0,50,249,4,6,30,0,19,0,0,,30,0,0,226,2,99.2,18,false,false,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1997,"[""Stanford""]",DEN,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,245,3635,27,11,78,,87.5,55.8,218,23,4.4,13.6,1,0,0,0,,0.0,50,218,1,11,25,1,10,0,0,,25,4,2,726,3,83.9,43,true,false,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
John,Elway,John Elway,06/28/1960,ElwaJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/ElwaJo00_USAT_1990.jpg,1998,"[""Stanford""]",DEN,PB SB MVP,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,193,2806,22,10,58,,93.0,59.0,94,16,2.5,7.2,1,1,14,0,14,1.1,38,108,1,7,34,1,11,0,0,,34,1,1,691,3,85.9,80,true,true,true,true,true,true,false,false,true,false,true,true,true,false,false,3407,3,61,33,1,51475,300
