first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Boomer,Esiason,Boomer Esiason,04/17/1961,EsiaBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Maryland""]",CIN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,42,530,3,3,36,,62.9,50.0,63,9,3.3,6.3,2,0,0,0,,0.0,19,63,2,4,,,,,,,,,,,,,,false,false,false,false,true,true,false,false,true,true,false,true,true,false,false,1598,1,-8,7,0,37920,247
Boomer,Esiason,Boomer Esiason,04/17/1961,EsiaBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Maryland""]",CIN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,227,3443,27,12,68,,93.2,58.2,79,20,2.4,5.3,1,0,0,0,,0.0,33,79,1,9,,,,,,,,,,,,,,false,false,false,false,true,true,false,false,true,true,false,true,true,false,false,1598,1,-8,7,0,37920,247
Boomer,Esiason,Boomer Esiason,04/17/1961,EsiaBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Maryland""]",CIN,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,229,3959,24,17,57,,87.7,58.2,146,23,3.3,9.1,1,0,0,0,,0.0,44,146,1,12,,,,,,,,,,,,,,false,false,false,false,true,true,false,false,true,true,false,true,true,false,false,1598,1,-8,7,0,37920,247
Boomer,Esiason,Boomer Esiason,04/17/1961,EsiaBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Maryland""]",CIN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,173,3321,16,19,61,,73.1,54.5,241,19,4.6,20.1,0,0,0,0,,0.0,52,241,0,10,,,,,,,,,,,,,,false,false,false,false,true,true,false,false,true,true,false,true,true,false,false,1598,1,-8,7,0,37920,247
Boomer,Esiason,Boomer Esiason,04/17/1961,EsiaBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Maryland""]",CIN,PB AP-1 AP MVP-1 OPoY-2,QB,true,false,true,true,true,true,false,false,false,false,false,false,false,true,true,true,253,3572,28,14,86,,97.4,57.5,248,24,5.8,15.5,1,0,0,0,,0.0,43,248,1,5,37,0,29,0,0,,37,3,3,346,1,48.0,30,false,false,false,false,true,true,false,false,true,true,false,true,true,false,false,1598,1,-8,7,0,37920,247
Boomer,Esiason,Boomer Esiason,04/17/1961,EsiaBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Maryland""]",CIN,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,251,3525,28,11,74,,92.1,56.7,278,24,5.9,17.4,0,0,0,0,,0.0,47,278,0,8,,,,,,,,,,,,,,false,false,false,false,true,true,false,false,true,true,false,true,true,false,false,1598,1,-8,7,0,37920,247
Boomer,Esiason,Boomer Esiason,04/17/1961,EsiaBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Maryland""]",CIN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,178,3031,24,22,53,,77.0,55.7,157,21,3.2,9.8,0,0,0,0,,0.0,49,157,0,11,68,1,14,0,0,,68,0,0,254,3,113.3,46,false,false,false,false,true,true,false,false,true,true,false,true,true,false,false,1598,1,-8,7,0,37920,247
Boomer,Esiason,Boomer Esiason,04/17/1961,EsiaBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Maryland""]",CIN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,132,2883,13,16,53,,72.5,56.4,66,16,2.8,4.7,0,0,0,0,,0.0,24,66,0,10,,,,,,,,,,,,,,false,false,false,false,true,true,false,false,true,true,false,true,true,false,false,1598,1,-8,7,0,37920,247
Boomer,Esiason,Boomer Esiason,04/17/1961,EsiaBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1992,"[""Maryland""]",CIN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,65,1407,11,15,38,,57.0,51.8,66,15,3.1,5.5,0,0,0,0,,0.0,21,66,0,12,,,,,,,,,,,,,,false,false,false,false,true,true,false,false,true,true,false,true,true,false,false,1598,1,-8,7,0,37920,247
Boomer,Esiason,Boomer Esiason,04/17/1961,EsiaBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1993,"[""Maryland""]",NYJ,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,183,3421,16,11,77,,84.5,60.9,118,17,2.6,7.4,1,1,-8,0,-8,-0.5,46,110,1,13,,,,,,,,,,,,,,false,false,false,false,true,true,false,false,true,true,false,true,true,false,false,1598,1,-8,7,0,37920,247
