first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Jim,Everett,Jim Everett,01/03/1963,EverJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Purdue""]",RAM,AP ORoY-2,QB,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,65,1018,8,8,60,,67.8,49.7,46,14,2.9,7.7,1,0,0,0,,0.0,16,46,1,2,12,0,12,0,0,,12,0,2,136,1,54.2,45,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,596,0,0,4,0,34837,203
Jim,Everett,Jim Everett,01/03/1963,EverJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Purdue""]",RAM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,109,2064,10,13,81,,68.4,53.6,83,16,4.6,7.5,1,0,0,0,,0.0,18,83,1,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,596,0,0,4,0,34837,203
Jim,Everett,Jim Everett,01/03/1963,EverJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Purdue""]",RAM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,250,3964,31,18,69,,89.2,59.6,104,19,3.1,6.5,0,0,0,0,,0.0,34,104,0,7,8,0,6,0,0,,8,0,3,247,2,47.2,29,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,596,0,0,4,0,34837,203
Jim,Everett,Jim Everett,01/03/1963,EverJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Purdue""]",RAM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,260,4310,29,17,78,,90.6,58.7,31,13,1.2,1.9,1,0,0,0,,0.0,25,31,1,4,27,0,13,0,0,,27,0,6,737,4,62.4,55,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,596,0,0,4,0,34837,203
Jim,Everett,Jim Everett,01/03/1963,EverJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Purdue""]",RAM,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,223,3989,23,17,55,,79.3,55.4,31,15,1.6,1.9,1,0,0,0,,0.0,20,31,1,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,596,0,0,4,0,34837,203
Jim,Everett,Jim Everett,01/03/1963,EverJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Purdue""]",RAM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,134,3438,11,20,78,,68.9,56.5,44,10,1.6,2.8,0,0,0,0,,0.0,27,44,0,12,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,596,0,0,4,0,34837,203
Jim,Everett,Jim Everett,01/03/1963,EverJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1992,"[""Purdue""]",RAM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,193,3323,22,18,67,,80.2,59.2,133,22,4.2,8.3,0,0,0,0,,0.0,32,133,0,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,596,0,0,4,0,34837,203
Jim,Everett,Jim Everett,01/03/1963,EverJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1993,"[""Purdue""]",RAM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,71,1652,8,12,60,,59.7,49.3,38,14,2.0,3.8,0,0,0,0,,0.0,19,38,0,7,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,596,0,0,4,0,34837,203
Jim,Everett,Jim Everett,01/03/1963,EverJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1994,"[""Purdue""]",NOR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,210,3855,22,18,78,,84.9,64.1,35,14,2.3,2.2,0,0,0,0,,0.0,15,35,0,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,596,0,0,4,0,34837,203
Jim,Everett,Jim Everett,01/03/1963,EverJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1995,"[""Purdue""]",NOR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,233,3970,26,14,70,,87.0,60.8,42,9,1.8,2.6,0,0,0,0,,0.0,24,42,0,6,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,596,0,0,4,0,34837,203
Jim,Everett,Jim Everett,01/03/1963,EverJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1996,"[""Purdue""]",NOR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,112,2797,12,16,51,,69.4,57.5,3,3,0.1,0.2,0,0,0,0,,0.0,22,3,0,10,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,596,0,0,4,0,34837,203
Jim,Everett,Jim Everett,01/03/1963,EverJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""Purdue""]",SDG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,15,457,1,4,62,,49.7,48.0,6,6,1.2,1.5,0,0,0,0,,0.0,5,6,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,596,0,0,4,0,34837,203
