first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Kevin,Faulk,Kevin Faulk,06/05/1976,FaulKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""LSU""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,,,,,,,,227,43,3.4,20.6,1,12,98,1,19,8.9,79,325,2,3,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3607,431,3701,16,15,21,0
Kevin,Faulk,Kevin Faulk,06/05/1976,FaulKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""LSU""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,128,,,,,,,,570,18,3.5,35.6,4,51,465,1,52,29.1,215,1035,5,6,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3607,431,3701,16,15,21,0
Kevin,Faulk,Kevin Faulk,06/05/1976,FaulKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""LSU""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,53,23,0,0,23,,118.7,100.0,169,24,4.1,11.3,1,30,189,2,28,12.6,71,358,3,2,14,0,8,21,0,8,35,0,0,0,0,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3607,431,3701,16,15,21,0
Kevin,Faulk,Kevin Faulk,06/05/1976,FaulKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""LSU""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,105,0,0,0,,,39.6,0.0,271,45,5.2,18.1,2,37,379,3,36,25.3,89,650,5,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3607,431,3701,16,15,21,0
Kevin,Faulk,Kevin Faulk,06/05/1976,FaulKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""LSU""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,100,0,0,0,,,39.6,0.0,638,23,3.6,42.5,0,48,440,0,27,29.3,226,1078,0,4,72,0,23,58,0,19,130,0,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3607,431,3701,16,15,21,0
Kevin,Faulk,Kevin Faulk,06/05/1976,FaulKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""LSU""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,66,,,,,,,,255,20,4.7,23.2,2,26,248,1,31,22.5,80,503,3,2,114,0,17,38,0,14,152,0,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3607,431,3701,16,15,21,0
Kevin,Faulk,Kevin Faulk,06/05/1976,FaulKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""LSU""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,37,,,,,,,,145,13,2.8,18.1,0,29,260,0,23,32.5,80,405,0,3,74,0,19,65,0,21,139,1,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3607,431,3701,16,15,21,0
Kevin,Faulk,Kevin Faulk,06/05/1976,FaulKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""LSU""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,66,,,,,,,,123,11,4.9,8.2,1,43,356,2,43,23.7,68,479,3,2,75,0,9,23,1,7,98,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3607,431,3701,16,15,21,0
Kevin,Faulk,Kevin Faulk,06/05/1976,FaulKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2007,"[""LSU""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,71,,,,,,,,265,14,4.3,16.6,0,47,383,1,23,23.9,109,648,1,1,24,0,8,170,0,14,194,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3607,431,3701,16,15,21,0
Kevin,Faulk,Kevin Faulk,06/05/1976,FaulKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""LSU""]",NWE,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,135,-2,0,0,-2,38.6,79.2,100.0,507,41,6.1,33.8,3,58,486,3,22,32.4,141,993,6,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,3607,431,3701,16,15,21,0
