first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Brian,Finneran,Brian Finneran,01/31/1976,FinnBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Villanova""]",PHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,,,,,,,,0,,,0.0,0,2,21,0,11,7.0,2,21,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,238,3093,0,19,0,0
Brian,Finneran,Brian Finneran,01/31/1976,FinnBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Villanova""]",ATL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,,,,,,,,0,,,0.0,0,7,60,0,14,5.0,7,60,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,238,3093,0,19,0,0
Brian,Finneran,Brian Finneran,01/31/1976,FinnBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Villanova""]",ATL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,67,,,,,,,,0,,,0.0,0,23,491,3,52,30.7,23,491,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,238,3093,0,19,0,0
Brian,Finneran,Brian Finneran,01/31/1976,FinnBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Villanova""]",ATL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,118,,,,,,,,0,,,0.0,0,56,838,6,47,52.4,56,838,6,2,0,0,,107,0,28,107,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,238,3093,0,19,0,0
Brian,Finneran,Brian Finneran,01/31/1976,FinnBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Villanova""]",ATL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,49,,,,,,,,0,,,0.0,0,26,368,2,38,30.7,26,368,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,238,3093,0,19,0,0
Brian,Finneran,Brian Finneran,01/31/1976,FinnBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Villanova""]",ATL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,36,,,,,,,,0,,,0.0,0,23,258,2,26,21.5,23,258,2,1,0,0,,37,0,29,37,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,238,3093,0,19,0,0
Brian,Finneran,Brian Finneran,01/31/1976,FinnBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Villanova""]",ATL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,79,,,,,,,,0,,,0.0,0,50,611,2,53,38.2,50,611,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,238,3093,0,19,0,0
Brian,Finneran,Brian Finneran,01/31/1976,FinnBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""Villanova""]",ATL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,21,,,,,,,,0,,,0.0,0,21,169,1,14,10.6,21,169,1,1,0,0,,11,0,7,11,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,238,3093,0,19,0,0
Brian,Finneran,Brian Finneran,01/31/1976,FinnBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2009,"[""Villanova""]",ATL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,11,,,,,,,,0,,,0.0,0,11,111,0,19,11.1,11,111,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,238,3093,0,19,0,0
Brian,Finneran,Brian Finneran,01/31/1976,FinnBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2010,"[""Villanova""]",ATL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,35,,,,,,,,0,,,0.0,0,19,166,3,21,10.4,19,166,3,0,0,0,,47,0,19,47,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,238,3093,0,19,0,0
