first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Joe,Flacco,Joe Flacco,01/16/1985,FlacJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/FlacJo00_2025.jpg,2008,"[""Pittsburgh"", ""Delaware""]",BAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,183,2971,14,12,70,47.1,80.3,60.0,180,38,3.5,11.3,2,1,43,0,43,2.7,53,223,2,11,5,1,5,0,0,,5,0,3,437,1,50.8,48,false,false,true,true,false,false,false,false,false,false,false,false,true,true,true,925,2,32,17,0,48176,272
Joe,Flacco,Joe Flacco,01/16/1985,FlacJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/FlacJo00_2025.jpg,2009,"[""Pittsburgh"", ""Delaware""]",BAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,206,3613,21,12,72,58.5,88.9,63.1,56,10,1.6,3.5,0,0,0,0,,0.0,35,56,0,8,7,0,7,0,0,,7,0,3,223,0,39.4,27,false,false,true,true,false,false,false,false,false,false,false,false,true,true,true,925,2,32,17,0,48176,272
Joe,Flacco,Joe Flacco,01/16/1985,FlacJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/FlacJo00_2025.jpg,2010,"[""Pittsburgh"", ""Delaware""]",BAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,231,3622,25,10,67,59.1,93.6,62.6,84,14,2.0,5.3,1,0,0,0,,0.0,43,84,1,9,25,0,13,0,0,,25,3,1,390,3,90.0,28,false,false,true,true,false,false,false,false,false,false,false,false,true,true,true,925,2,32,17,0,48176,272
Joe,Flacco,Joe Flacco,01/16/1985,FlacJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/FlacJo00_2025.jpg,2011,"[""Pittsburgh"", ""Delaware""]",BAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,202,3610,20,12,74,63.7,80.9,57.6,88,33,2.3,5.5,1,1,-8,0,-8,-0.5,40,80,1,11,26,0,14,0,0,,26,1,1,482,4,96.1,42,false,false,true,true,false,false,false,false,false,false,false,false,true,true,true,925,2,32,17,0,48176,272
Joe,Flacco,Joe Flacco,01/16/1985,FlacJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/FlacJo00_2025.jpg,2012,"[""Pittsburgh"", ""Delaware""]",BAL,SB MVP,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,235,3817,22,10,61,51.1,87.7,59.7,22,16,0.7,1.4,3,0,0,0,,0.0,32,22,3,9,16,0,14,0,0,,16,1,0,1140,11,117.2,70,true,true,true,true,false,false,false,false,false,false,false,false,true,true,true,925,2,32,17,0,48176,272
Joe,Flacco,Joe Flacco,01/16/1985,FlacJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/FlacJo00_2025.jpg,2013,"[""Pittsburgh"", ""Delaware""]",BAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,208,3912,19,22,74,48.0,73.1,59.0,131,22,4.9,8.2,1,0,0,0,,0.0,27,131,1,8,,,,,,,,,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,true,true,true,925,2,32,17,0,48176,272
Joe,Flacco,Joe Flacco,01/16/1985,FlacJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/FlacJo00_2025.jpg,2014,"[""Pittsburgh"", ""Delaware""]",BAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,262,3986,27,12,80,68.6,91.0,62.1,70,15,1.8,4.4,2,0,0,0,,0.0,39,70,2,5,8,0,9,0,0,,8,1,2,551,6,100.7,40,false,false,true,true,false,false,false,false,false,false,false,false,true,true,true,925,2,32,17,0,48176,272
Joe,Flacco,Joe Flacco,01/16/1985,FlacJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/FlacJo00_2025.jpg,2015,"[""Pittsburgh"", ""Delaware""]",BAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,162,2791,14,12,50,50.8,83.1,64.4,23,16,1.8,2.3,3,0,0,0,,0.0,13,23,3,5,,,,,,,,,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,true,true,true,925,2,32,17,0,48176,272
Joe,Flacco,Joe Flacco,01/16/1985,FlacJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/FlacJo00_2025.jpg,2016,"[""Pittsburgh"", ""Delaware""]",BAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,242,4317,20,15,95,52.5,83.5,64.9,58,16,2.8,3.6,2,0,0,0,,0.0,21,58,2,5,,,,,,,,,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,true,true,true,925,2,32,17,0,48176,272
Joe,Flacco,Joe Flacco,01/16/1985,FlacJo00,https://www.pro-football-reference.com/req/20230307/images/headshots/FlacJo00_2025.jpg,2017,"[""Pittsburgh"", ""Delaware""]",BAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,185,3141,18,13,66,47.1,80.4,64.1,54,25,2.2,3.4,1,0,0,0,,0.0,25,54,1,6,,,,,,,,,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,true,true,true,925,2,32,17,0,48176,272
