first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Nick,Foles,Nick Foles,01/20/1989,FoleNi00,https://www.pro-football-reference.com/req/20230307/images/headshots/FoleNi00_2022.jpg,2012,"[""Arizona""]",PHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,86,1699,6,5,46,51.2,79.1,60.8,42,14,3.8,6.0,1,0,0,0,,0.0,11,42,1,8,,,,,,,,,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,407,1,10,6,0,14227,82
Nick,Foles,Nick Foles,01/20/1989,FoleNi00,https://www.pro-football-reference.com/req/20230307/images/headshots/FoleNi00_2022.jpg,2013,"[""Arizona""]",PHI,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,260,2891,27,2,63,69.5,119.2,64.0,221,21,3.9,17.0,3,0,0,0,,0.0,57,221,3,4,3,0,3,0,0,,3,0,0,195,2,105.0,40,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,407,1,10,6,0,14227,82
Nick,Foles,Nick Foles,01/20/1989,FoleNi00,https://www.pro-football-reference.com/req/20230307/images/headshots/FoleNi00_2022.jpg,2014,"[""Arizona""]",PHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,119,2163,13,10,68,63.6,81.4,59.8,68,14,4.3,8.5,0,0,0,0,,0.0,16,68,0,4,,,,,,,,,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,407,1,10,6,0,14227,82
Nick,Foles,Nick Foles,01/20/1989,FoleNi00,https://www.pro-football-reference.com/req/20230307/images/headshots/FoleNi00_2022.jpg,2015,"[""Arizona""]",STL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,96,2052,7,10,68,28.9,69.0,56.4,20,10,1.2,1.8,1,0,0,0,,0.0,17,20,1,5,,,,,,,,,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,407,1,10,6,0,14227,82
Nick,Foles,Nick Foles,01/20/1989,FoleNi00,https://www.pro-football-reference.com/req/20230307/images/headshots/FoleNi00_2022.jpg,2016,"[""Arizona""]",KAN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,28,410,3,0,49,29.9,105.9,65.5,-4,-1,-1.0,-1.3,0,0,0,0,,0.0,4,-4,0,0,,,,,,,,,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,407,1,10,6,0,14227,82
Nick,Foles,Nick Foles,01/20/1989,FoleNi00,https://www.pro-football-reference.com/req/20230307/images/headshots/FoleNi00_2022.jpg,2017,"[""Arizona""]",PHI,SB MVP,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,34,537,5,2,35,31.1,79.5,56.4,3,9,0.3,0.4,0,0,0,0,,0.0,11,3,0,6,-2,0,1,1,1,1,-1,2,1,971,6,115.7,55,true,true,true,true,false,false,false,false,false,false,false,false,true,false,false,407,1,10,6,0,14227,82
Nick,Foles,Nick Foles,01/20/1989,FoleNi00,https://www.pro-football-reference.com/req/20230307/images/headshots/FoleNi00_2022.jpg,2018,"[""Arizona""]",PHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,75,1413,7,4,83,65.4,96.0,72.3,17,4,1.9,3.4,0,1,10,0,15,2.0,10,27,0,4,-1,1,-1,0,0,,-1,0,4,467,3,70.6,37,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,407,1,10,6,0,14227,82
Nick,Foles,Nick Foles,01/20/1989,FoleNi00,https://www.pro-football-reference.com/req/20230307/images/headshots/FoleNi00_2022.jpg,2019,"[""Arizona""]",JAX,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,38,736,3,2,39,35.5,84.6,65.8,23,13,5.8,5.8,0,0,0,0,,0.0,4,23,0,2,,,,,,,,,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,407,1,10,6,0,14227,82
Nick,Foles,Nick Foles,01/20/1989,FoleNi00,https://www.pro-football-reference.com/req/20230307/images/headshots/FoleNi00_2022.jpg,2020,"[""Arizona""]",CHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,104,1852,10,8,50,36.0,80.8,64.7,1,7,0.1,0.1,1,0,0,0,,0.0,16,1,1,2,,,,,,,,,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,407,1,10,6,0,14227,82
Nick,Foles,Nick Foles,01/20/1989,FoleNi00,https://www.pro-football-reference.com/req/20230307/images/headshots/FoleNi00_2022.jpg,2021,"[""Arizona""]",CHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,17,250,1,0,30,51.6,98.5,68.6,8,8,2.0,8.0,0,0,0,0,,0.0,4,8,0,1,,,,,,,,,,,,,,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,407,1,10,6,0,14227,82
