first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Dan,Fouts,Dan Fouts,06/10/1951,FoutDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1973,"[""Oregon""]",SDG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,44,1126,6,13,69,,46.0,44.8,32,16,4.6,3.2,0,0,0,0,,0.0,7,32,0,2,,,,,,,,,,,,,,false,false,false,false,true,false,false,true,true,true,true,true,true,false,false,476,1,0,13,0,43040,254
Dan,Fouts,Dan Fouts,06/10/1951,FoutDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1974,"[""Oregon""]",SDG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,84,1732,8,13,75,,61.4,48.5,63,16,3.3,5.7,1,0,0,0,,0.0,19,63,1,4,,,,,,,,,,,,,,false,false,false,false,true,false,false,true,true,true,true,true,true,false,false,476,1,0,13,0,43040,254
Dan,Fouts,Dan Fouts,06/10/1951,FoutDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1975,"[""Oregon""]",SDG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,70,1396,2,10,57,,59.3,54.4,170,32,7.4,17.0,2,0,0,0,,0.0,23,170,2,3,,,,,,,,,,,,,,false,false,false,false,true,false,false,true,true,true,true,true,true,false,false,476,1,0,13,0,43040,254
Dan,Fouts,Dan Fouts,06/10/1951,FoutDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1976,"[""Oregon""]",SDG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,2535,14,15,81,,75.4,57.9,65,13,3.6,4.6,0,0,0,0,,0.0,18,65,0,8,,,,,,,,,,,,,,false,false,false,false,true,false,false,true,true,true,true,true,true,false,false,476,1,0,13,0,43040,254
Dan,Fouts,Dan Fouts,06/10/1951,FoutDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1977,"[""Oregon""]",SDG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,36,869,4,6,67,,77.4,63.3,13,11,2.2,3.3,0,0,0,0,,0.0,6,13,0,4,,,,,,,,,,,,,,false,false,false,false,true,false,false,true,true,true,true,true,true,false,false,476,1,0,13,0,43040,254
Dan,Fouts,Dan Fouts,06/10/1951,FoutDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1978,"[""Oregon""]",SDG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,182,2999,24,20,55,,83.0,58.8,43,22,2.2,2.9,2,0,0,0,,0.0,20,43,2,10,,,,,,,,,,,,,,false,false,false,false,true,false,false,true,true,true,true,true,true,false,false,476,1,0,13,0,43040,254
Dan,Fouts,Dan Fouts,06/10/1951,FoutDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""Oregon""]",SDG,PB AP-1 AP MVP-2 OPoY-2,QB,true,false,true,true,true,true,false,false,false,false,false,false,false,true,true,false,215,4082,24,24,65,,82.6,62.6,49,26,1.9,3.1,2,0,0,0,,0.0,26,49,2,13,,,,,,,,,5,333,0,36.3,34,false,false,false,false,true,false,false,true,true,true,true,true,true,false,false,476,1,0,13,0,43040,254
Dan,Fouts,Dan Fouts,06/10/1951,FoutDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""Oregon""]",SDG,PB AP-2 AP MVP-5 OPoY-3,QB,false,true,true,true,true,true,false,false,false,false,false,false,false,true,true,false,263,4715,30,24,65,,84.7,59.1,15,9,0.7,0.9,2,0,0,0,,0.0,23,15,2,11,-4,0,2,0,0,,-4,0,3,650,4,80.8,55,false,false,false,false,true,false,false,true,true,true,true,true,true,false,false,476,1,0,13,0,43040,254
Dan,Fouts,Dan Fouts,06/10/1951,FoutDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""Oregon""]",SDG,PB AP MVP-6 OPoY-5,QB,false,false,false,true,true,true,false,false,false,false,false,false,false,false,true,false,287,4802,33,17,67,,90.6,59.1,56,13,2.5,3.5,0,0,0,0,,0.0,22,56,0,9,16,0,8,0,0,,16,1,3,618,4,84.3,47,false,false,false,false,true,false,false,true,true,true,true,true,true,false,false,476,1,0,13,0,43040,254
Dan,Fouts,Dan Fouts,06/10/1951,FoutDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1982,"[""Oregon""]",SDG,PB AP-1 AP MVP-2 OPoY-1,QB,true,false,true,true,true,true,true,false,false,false,false,false,false,true,true,false,166,2883,17,11,44,,93.3,61.8,8,9,0.9,0.9,1,0,0,0,,0.0,9,8,1,2,3,0,3,0,0,,3,0,5,524,4,67.0,33,false,false,false,false,true,false,false,true,true,true,true,true,true,false,false,476,1,0,13,0,43040,254
