first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
John,Friesz,John Friesz,05/19/1967,FrieJo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Idaho""]",SDG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,98,1,1,17,,58.5,50.0,3,3,3.0,3.0,0,0,0,0,,0.0,1,3,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,0,0,0,0,8699,45
John,Friesz,John Friesz,05/19/1967,FrieJo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Idaho""]",SDG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,2896,12,15,58,,67.1,53.8,18,11,1.8,1.1,0,0,0,0,,0.0,10,18,0,10,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,0,0,0,0,8699,45
John,Friesz,John Friesz,05/19/1967,FrieJo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1993,"[""Idaho""]",SDG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,70,1402,6,4,66,,72.8,53.8,3,2,0.3,0.3,0,0,0,0,,0.0,10,3,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,0,0,0,0,8699,45
John,Friesz,John Friesz,05/19/1967,FrieJo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1994,"[""Idaho""]",WAS,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,73,1266,10,9,73,,77.7,58.3,1,1,1.0,0.1,0,0,0,0,,0.0,1,1,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,0,0,0,0,8699,45
John,Friesz,John Friesz,05/19/1967,FrieJo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1995,"[""Idaho""]",SEA,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,48,795,6,3,43,,80.4,53.3,0,,0.0,0.0,0,0,0,0,,0.0,11,0,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,0,0,0,0,8699,45
John,Friesz,John Friesz,05/19/1967,FrieJo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1996,"[""Idaho""]",SEA,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,87,1629,8,4,80,,86.4,56.9,1,3,0.1,0.1,0,0,0,0,,0.0,12,1,0,7,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,0,0,0,0,8699,45
John,Friesz,John Friesz,05/19/1967,FrieJo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""Idaho""]",SEA,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-2,138,0,3,22,,18.1,41.7,0,,0.0,0.0,0,0,0,0,,0.0,1,0,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,0,0,0,0,8699,45
John,Friesz,John Friesz,05/19/1967,FrieJo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""Idaho""]",SEA,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,21,409,2,2,81,,82.8,59.2,5,8,1.0,0.8,0,0,0,0,,0.0,5,5,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,0,0,0,0,8699,45
John,Friesz,John Friesz,05/19/1967,FrieJo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Idaho""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,,,,-2,-1,-1.0,-2.0,0,0,0,0,,0.0,2,-2,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,0,0,0,0,8699,45
John,Friesz,John Friesz,05/19/1967,FrieJo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Idaho""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,66,0,1,17,,39.0,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,0,0,0,0,8699,45
