first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Irving,Fryar,Irving Fryar,09/28/1962,FryaIr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Nebraska""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,17,,,,,,,,-11,,-5.5,-0.8,0,11,164,1,26,11.7,13,153,1,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,242,851,12785,1,84,0,0
Irving,Fryar,Irving Fryar,09/28/1962,FryaIr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Nebraska""]",NWE,PB AP-2,WR,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,126,,,,,,,,27,13,3.9,1.7,1,39,670,7,56,41.9,46,697,8,4,3,0,3,71,1,39,74,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,242,851,12785,1,84,0,0
Irving,Fryar,Irving Fryar,09/28/1962,FryaIr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Nebraska""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,120,,,,,,,,80,31,20.0,5.7,0,43,737,6,69,52.6,47,817,6,4,-2,0,-2,11,0,7,9,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,242,851,12785,1,84,0,0
Irving,Fryar,Irving Fryar,09/28/1962,FryaIr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Nebraska""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,80,,,,,,,,52,16,5.8,4.3,0,31,467,5,40,38.9,40,519,5,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,242,851,12785,1,84,0,0
Irving,Fryar,Irving Fryar,09/28/1962,FryaIr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Nebraska""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,78,,,,,,,,12,6,2.0,0.8,0,33,490,5,80,32.7,39,502,5,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,242,851,12785,1,84,0,0
Irving,Fryar,Irving Fryar,09/28/1962,FryaIr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Nebraska""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,71,,,,,,,,15,11,7.5,1.4,0,29,537,3,52,48.8,31,552,3,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,242,851,12785,1,84,0,0
Irving,Fryar,Irving Fryar,09/28/1962,FryaIr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Nebraska""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,108,,,,,,,,-4,-1,-2.0,-0.3,0,54,856,4,56,53.5,56,852,4,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,242,851,12785,1,84,0,0
Irving,Fryar,Irving Fryar,09/28/1962,FryaIr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Nebraska""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,119,0,0,0,,,39.6,0.0,11,9,5.5,0.7,0,68,1014,3,56,63.4,70,1025,3,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,242,851,12785,1,84,0,0
Irving,Fryar,Irving Fryar,09/28/1962,FryaIr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1992,"[""Nebraska""]",NWE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,104,,,,,,,,6,8,6.0,0.4,0,55,791,4,54,52.7,56,797,4,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,242,851,12785,1,84,0,0
Irving,Fryar,Irving Fryar,09/28/1962,FryaIr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1993,"[""Nebraska""]",MIA,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,131,,,,,,,,-4,2,-1.3,-0.3,0,64,1010,5,65,63.1,67,1006,5,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,242,851,12785,1,84,0,0
