first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Tony,Galbreath,Tony Galbreath,01/29/1954,GalbTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1976,"[""Missouri""]",NOR,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,140,,,,,,,,570,74,4.2,40.7,7,54,420,1,35,30.0,190,990,8,7,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,4072,490,4066,34,9,83,0
Tony,Galbreath,Tony Galbreath,01/29/1954,GalbTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1977,"[""Missouri""]",NOR,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,106,,,,,,,,644,26,3.8,46.0,3,41,265,0,30,18.9,209,909,3,3,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,4072,490,4066,34,9,83,0
Tony,Galbreath,Tony Galbreath,01/29/1954,GalbTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1978,"[""Missouri""]",NOR,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,158,,,,,,,,635,20,3.4,39.7,5,74,582,2,35,36.4,260,1217,7,6,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,4072,490,4066,34,9,83,0
Tony,Galbreath,Tony Galbreath,01/29/1954,GalbTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""Missouri""]",NOR,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,182,70,0,1,48,,70.1,66.7,708,27,3.7,47.2,9,58,484,1,38,32.3,247,1192,10,5,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,4072,490,4066,34,9,83,0
Tony,Galbreath,Tony Galbreath,01/29/1954,GalbTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""Missouri""]",NOR,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,105,0,0,0,,,39.6,0.0,308,26,3.8,19.3,3,57,470,2,21,29.4,138,778,5,3,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,4072,490,4066,34,9,83,0
Tony,Galbreath,Tony Galbreath,01/29/1954,GalbTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""Missouri""]",MIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,44,,,,,,,,198,21,4.7,14.1,2,18,144,0,23,10.3,60,342,2,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,4072,490,4066,34,9,83,0
Tony,Galbreath,Tony Galbreath,01/29/1954,GalbTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1982,"[""Missouri""]",MIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,32,,,,,,,,116,12,3.0,14.5,1,17,153,0,32,19.1,56,269,1,1,14,0,4,14,0,7,28,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,4072,490,4066,34,9,83,0
Tony,Galbreath,Tony Galbreath,01/29/1954,GalbTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Missouri""]",MIN,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,114,,,,,,,,474,52,4.2,36.5,4,45,348,2,23,26.8,158,822,6,4,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,4072,490,4066,34,9,83,0
Tony,Galbreath,Tony Galbreath,01/29/1954,GalbTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Missouri""]",NYG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,46,13,0,0,13,,118.7,100.0,97,11,4.4,6.1,0,37,357,0,37,22.3,59,454,0,0,34,0,13,28,0,11,62,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,4072,490,4066,34,9,83,0
Tony,Galbreath,Tony Galbreath,01/29/1954,GalbTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Missouri""]",NYG,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,55,,,,,,,,187,18,6.4,11.7,0,30,327,1,49,20.4,59,514,1,2,9,0,9,20,0,11,29,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,4072,490,4066,34,9,83,0
