first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Charlie,Garner,Charlie Garner,02/13/1972,GarnCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1994,"[""Scottsdale CC"", ""Tennessee""]",PHI,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,61,,,,,,,,399,28,3.7,39.9,3,8,74,0,28,7.4,117,473,3,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7097,419,3711,39,12,0,0
Charlie,Garner,Charlie Garner,02/13/1972,GarnCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1995,"[""Scottsdale CC"", ""Tennessee""]",PHI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,99,,,,,,,,588,55,5.4,39.2,6,10,61,0,29,4.1,118,649,6,2,91,1,30,0,0,,91,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7097,419,3711,39,12,0,0
Charlie,Garner,Charlie Garner,02/13/1972,GarnCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1996,"[""Scottsdale CC"", ""Tennessee""]",PHI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,48,,,,,,,,346,46,5.2,23.1,1,14,92,0,13,6.1,80,438,1,1,10,0,8,0,0,,10,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7097,419,3711,39,12,0,0
Charlie,Garner,Charlie Garner,02/13/1972,GarnCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""Scottsdale CC"", ""Tennessee""]",PHI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,,,,,,,,547,26,4.7,34.2,3,24,225,0,27,14.1,140,772,3,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7097,419,3711,39,12,0,0
Charlie,Garner,Charlie Garner,02/13/1972,GarnCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""Scottsdale CC"", ""Tennessee""]",PHI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,71,,,,,,,,381,40,4.0,38.1,4,19,110,0,21,11.0,115,491,4,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7097,419,3711,39,12,0,0
Charlie,Garner,Charlie Garner,02/13/1972,GarnCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Scottsdale CC"", ""Tennessee""]",SFO,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,208,0,0,0,,,,,1229,53,5.1,76.8,4,56,535,2,53,33.4,297,1764,6,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7097,419,3711,39,12,0,0
Charlie,Garner,Charlie Garner,02/13/1972,GarnCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Scottsdale CC"", ""Tennessee""]",SFO,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,233,,,,,,,,1142,42,4.4,71.4,7,68,647,3,62,40.4,326,1789,10,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7097,419,3711,39,12,0,0
Charlie,Garner,Charlie Garner,02/13/1972,GarnCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Scottsdale CC"", ""Tennessee""]",OAK,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,156,,,,,,,,839,38,4.0,52.4,1,72,578,2,27,36.1,283,1417,3,2,222,1,80,59,0,17,281,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7097,419,3711,39,12,0,0
Charlie,Garner,Charlie Garner,02/13/1972,GarnCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Scottsdale CC"", ""Tennessee""]",OAK,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,256,,,,,,,,962,36,5.3,60.1,7,91,941,4,69,58.8,273,1903,11,0,139,0,18,132,1,20,271,1,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7097,419,3711,39,12,0,0
Charlie,Garner,Charlie Garner,02/13/1972,GarnCh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Scottsdale CC"", ""Tennessee""]",OAK,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,118,,,,,,,,553,33,4.6,39.5,3,48,386,1,46,27.6,168,939,4,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,7097,419,3711,39,12,0,0
