first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Jimmy,Garoppolo,Jimmy Garoppolo,11/02/1991,GaroJi00,https://www.pro-football-reference.com/req/20230307/images/headshots/GaroJi00_2025.jpg,2014,"[""Eastern Illinois""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,12,182,1,0,37,19.5,101.2,70.4,9,9,0.9,1.5,0,0,0,0,,0.0,10,9,0,0,,,,,,,,,,0,0,,,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,259,2,-3,7,0,15828,96
Jimmy,Garoppolo,Jimmy Garoppolo,11/02/1991,GaroJi00,https://www.pro-football-reference.com/req/20230307/images/headshots/GaroJi00_2025.jpg,2015,"[""Eastern Illinois""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,6,0,0,6,8.1,39.6,25.0,-5,-1,-1.0,-1.0,0,0,0,0,,0.0,5,-5,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,259,2,-3,7,0,15828,96
Jimmy,Garoppolo,Jimmy Garoppolo,11/02/1991,GaroJi00,https://www.pro-football-reference.com/req/20230307/images/headshots/GaroJi00_2025.jpg,2016,"[""Eastern Illinois""]",NWE,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,35,502,4,0,37,87.5,113.3,68.3,6,10,0.6,1.0,0,1,3,0,3,0.5,11,9,0,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,259,2,-3,7,0,15828,96
Jimmy,Garoppolo,Jimmy Garoppolo,11/02/1991,GaroJi00,https://www.pro-football-reference.com/req/20230307/images/headshots/GaroJi00_2025.jpg,2017,"[""Eastern Illinois""]",SFO,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,87,1560,7,5,61,83.0,96.2,67.4,11,8,0.7,1.8,1,1,-6,0,-6,-1.0,16,5,1,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,259,2,-3,7,0,15828,96
Jimmy,Garoppolo,Jimmy Garoppolo,11/02/1991,GaroJi00,https://www.pro-football-reference.com/req/20230307/images/headshots/GaroJi00_2025.jpg,2018,"[""Eastern Illinois""]",SFO,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,48,718,5,3,56,27.5,90.0,59.6,33,13,4.1,11.0,0,0,0,0,,0.0,8,33,0,4,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,259,2,-3,7,0,15828,96
Jimmy,Garoppolo,Jimmy Garoppolo,11/02/1991,GaroJi00,https://www.pro-football-reference.com/req/20230307/images/headshots/GaroJi00_2025.jpg,2019,"[""Eastern Illinois""]",SFO,AP CPoY-2,QB,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,247,3978,27,13,75,60.8,102.0,69.1,62,11,1.3,3.9,1,0,0,0,,0.0,46,62,1,10,1,0,3,0,0,,1,0,3,427,2,75.9,30,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,259,2,-3,7,0,15828,96
Jimmy,Garoppolo,Jimmy Garoppolo,11/02/1991,GaroJi00,https://www.pro-football-reference.com/req/20230307/images/headshots/GaroJi00_2025.jpg,2020,"[""Eastern Illinois""]",SFO,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,64,1096,7,5,76,54.0,92.4,67.1,25,9,2.5,4.2,0,0,0,0,,0.0,10,25,0,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,259,2,-3,7,0,15828,96
Jimmy,Garoppolo,Jimmy Garoppolo,11/02/1991,GaroJi00,https://www.pro-football-reference.com/req/20230307/images/headshots/GaroJi00_2025.jpg,2021,"[""Eastern Illinois""]",SFO,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,228,3810,20,12,83,59.2,98.7,68.3,51,7,1.3,3.4,3,0,0,0,,0.0,38,51,3,8,5,0,4,0,0,,5,0,3,535,2,72.7,44,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,259,2,-3,7,0,15828,96
Jimmy,Garoppolo,Jimmy Garoppolo,11/02/1991,GaroJi00,https://www.pro-football-reference.com/req/20230307/images/headshots/GaroJi00_2025.jpg,2022,"[""Eastern Illinois""]",SFO,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,165,2437,16,4,57,56.3,103.0,67.2,33,6,1.4,3.0,2,0,0,0,,0.0,23,33,2,3,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,259,2,-3,7,0,15828,96
Jimmy,Garoppolo,Jimmy Garoppolo,11/02/1991,GaroJi00,https://www.pro-football-reference.com/req/20230307/images/headshots/GaroJi00_2025.jpg,2023,"[""Eastern Illinois""]",LVR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,64,1205,7,9,32,34.7,77.7,65.1,39,9,2.0,5.6,0,0,0,0,,0.0,20,39,0,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,259,2,-3,7,0,15828,96
Jimmy,Garoppolo,Jimmy Garoppolo,11/02/1991,GaroJi00,https://www.pro-football-reference.com/req/20230307/images/headshots/GaroJi00_2025.jpg,2024,"[""Eastern Illinois""]",LAR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,20,334,2,1,50,44.9,97.0,65.9,5,5,2.5,5.0,0,0,0,0,,0.0,2,5,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,259,2,-3,7,0,15828,96
Jimmy,Garoppolo,Jimmy Garoppolo,11/02/1991,GaroJi00,https://www.pro-football-reference.com/req/20230307/images/headshots/GaroJi00_2025.jpg,2025,"[""Eastern Illinois""]",LAR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-1,0,0,0,,0.8,,,-10,-1,-1.1,-3.3,0,0,0,0,,0.0,9,-10,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,259,2,-3,7,0,15828,96
