first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Willie,Gault,Willie Gault,09/05/1960,GaulWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Tennessee""]",CHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,134,,,,,,,,31,22,7.8,1.9,0,40,836,8,87,52.3,44,867,8,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,154,333,6635,0,44,0,0
Willie,Gault,Willie Gault,09/05/1960,GaulWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Tennessee""]",CHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,94,,,,,,,,0,,,0.0,0,34,587,6,61,36.7,34,587,6,1,0,0,,75,1,75,75,1,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,154,333,6635,0,44,0,0
Willie,Gault,Willie Gault,09/05/1960,GaulWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Tennessee""]",CHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,84,,,,,,,,18,11,3.6,1.1,0,33,704,1,70,44.0,38,722,1,0,0,0,,253,1,60,253,0,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,154,333,6635,0,44,0,0
Willie,Gault,Willie Gault,09/05/1960,GaulWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Tennessee""]",CHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,119,,,,,,,,79,33,9.9,4.9,0,42,818,5,53,51.1,50,897,5,1,0,0,,82,1,50,82,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,154,333,6635,0,44,0,0
Willie,Gault,Willie Gault,09/05/1960,GaulWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Tennessee""]",CHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,114,,,,,,,,16,9,8.0,1.3,0,35,705,7,56,58.8,37,721,7,0,0,0,,44,0,44,44,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,154,333,6635,0,44,0,0
Willie,Gault,Willie Gault,09/05/1960,GaulWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Tennessee""]",RAI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,51,,,,,,,,4,4,4.0,0.3,0,16,392,2,57,26.1,17,396,2,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,154,333,6635,0,44,0,0
Willie,Gault,Willie Gault,09/05/1960,GaulWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Tennessee""]",RAI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,,,,,,,,0,,,0.0,0,28,690,4,84,43.1,28,690,4,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,154,333,6635,0,44,0,0
Willie,Gault,Willie Gault,09/05/1960,GaulWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Tennessee""]",RAI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,116,,,,,,,,0,,,0.0,0,50,985,3,68,61.6,50,985,3,1,0,0,,32,0,26,32,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,154,333,6635,0,44,0,0
Willie,Gault,Willie Gault,09/05/1960,GaulWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Tennessee""]",RAI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,59,,,,,,,,0,,,0.0,0,20,346,4,59,21.6,20,346,4,0,0,0,,11,0,11,11,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,154,333,6635,0,44,0,0
Willie,Gault,Willie Gault,09/05/1960,GaulWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1992,"[""Tennessee""]",RAI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,75,,,,,,,,6,6,6.0,0.4,0,27,508,4,53,31.8,28,514,4,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,154,333,6635,0,44,0,0
