first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Jeff,George,Jeff George,12/08/1967,GeorJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Purdue"", ""Illinois""]",IND,AP ORoY-3,QB,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,126,2152,16,13,75,,73.8,54.2,2,6,0.2,0.2,1,0,0,0,,0.0,11,2,1,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,307,0,0,2,0,27602,154
Jeff,George,Jeff George,12/08/1967,GeorJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Purdue"", ""Illinois""]",IND,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,128,2910,10,12,49,,73.8,60.2,36,13,2.3,2.3,0,0,0,0,,0.0,16,36,0,8,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,307,0,0,2,0,27602,154
Jeff,George,Jeff George,12/08/1967,GeorJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1992,"[""Purdue"", ""Illinois""]",IND,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,79,1963,7,15,57,,61.5,54.6,26,13,1.9,2.6,1,0,0,0,,0.0,14,26,1,6,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,307,0,0,2,0,27602,154
Jeff,George,Jeff George,12/08/1967,GeorJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1993,"[""Purdue"", ""Illinois""]",IND,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,121,2526,8,6,72,,76.3,57.5,39,14,3.0,3.0,0,0,0,0,,0.0,13,39,0,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,307,0,0,2,0,27602,154
Jeff,George,Jeff George,12/08/1967,GeorJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1994,"[""Purdue"", ""Illinois""]",ATL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,206,3734,23,18,85,,83.3,61.5,66,10,2.2,4.1,0,0,0,0,,0.0,30,66,0,12,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,307,0,0,2,0,27602,154
Jeff,George,Jeff George,12/08/1967,GeorJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1995,"[""Purdue"", ""Illinois""]",ATL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,241,4143,24,11,62,,89.5,60.3,17,6,0.6,1.1,0,0,0,0,,0.0,27,17,0,6,0,0,,0,0,,0,1,2,366,2,73.5,65,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,307,0,0,2,0,27602,154
Jeff,George,Jeff George,12/08/1967,GeorJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1996,"[""Purdue"", ""Illinois""]",ATL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,35,698,3,3,67,,76.1,56.6,10,5,2.0,3.3,0,0,0,0,,0.0,5,10,0,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,307,0,0,2,0,27602,154
Jeff,George,Jeff George,12/08/1967,GeorJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""Purdue"", ""Illinois""]",OAK,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,255,3917,29,9,76,,91.2,55.7,44,12,2.6,2.8,0,0,0,0,,0.0,17,44,0,7,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,307,0,0,2,0,27602,154
Jeff,George,Jeff George,12/08/1967,GeorJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""Purdue"", ""Illinois""]",OAK,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,48,1186,4,5,75,,72.7,55.0,2,8,0.3,0.3,0,0,0,0,,0.0,8,2,0,7,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,307,0,0,2,0,27602,154
Jeff,George,Jeff George,12/08/1967,GeorJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Purdue"", ""Illinois""]",MIN,AP CPoY-4,QB,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,175,2816,23,12,80,,94.2,58.1,41,17,2.6,3.4,0,0,0,0,,0.0,16,41,0,8,7,0,8,0,0,,7,1,1,635,7,108.5,58,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,307,0,0,2,0,27602,154
Jeff,George,Jeff George,12/08/1967,GeorJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Purdue"", ""Illinois""]",WAS,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,72,1389,7,6,50,,79.6,58.2,24,14,3.4,4.0,0,0,0,0,,0.0,7,24,0,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,307,0,0,2,0,27602,154
Jeff,George,Jeff George,12/08/1967,GeorJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Purdue"", ""Illinois""]",WAS,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-1,168,0,3,17,,34.6,54.8,0,,0.0,0.0,0,0,0,0,,0.0,4,0,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,307,0,0,2,0,27602,154
