first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Jared,Goff,Jared Goff,10/14/1994,GoffJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoffJa00_2025.jpg,2016,"[""California""]",LAR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,53,1089,5,7,66,18.3,63.6,54.6,16,6,2.0,2.3,1,0,0,0,,0.0,8,16,1,5,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,596,2,12,12,1,39622,256
Jared,Goff,Jared Goff,10/14/1994,GoffJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoffJa00_2025.jpg,2017,"[""California""]",LAR,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,255,3804,28,7,94,56.3,100.5,62.1,51,22,1.8,3.4,1,0,0,0,,0.0,28,51,1,8,,,,,,,,,0,259,1,77.9,38,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,596,2,12,12,1,39622,256
Jared,Goff,Jared Goff,10/14/1994,GoffJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoffJa00_2025.jpg,2018,"[""California""]",LAR,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,310,4688,32,12,70,63.6,101.1,64.9,108,16,2.5,6.8,2,0,0,0,,0.0,43,108,2,12,22,0,11,0,0,,22,2,2,712,1,71.7,39,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,596,2,12,12,1,39622,256
Jared,Goff,Jared Goff,10/14/1994,GoffJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoffJa00_2025.jpg,2019,"[""California""]",LAR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,248,4638,22,16,66,50.6,86.5,62.9,40,8,1.2,2.5,2,0,0,0,,0.0,33,40,2,10,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,596,2,12,12,1,39622,256
Jared,Goff,Jared Goff,10/14/1994,GoffJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoffJa00_2025.jpg,2020,"[""California""]",LAR,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,240,3952,20,13,56,50.8,90.0,67.0,99,10,1.9,6.6,4,0,0,0,,0.0,51,99,4,7,10,0,6,0,0,,10,0,0,329,2,100.7,44,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,596,2,12,12,1,39622,256
Jared,Goff,Jared Goff,10/14/1994,GoffJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoffJa00_2025.jpg,2021,"[""California""]",DET,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,195,3245,19,8,63,45.5,91.5,67.2,87,26,5.1,6.2,0,0,0,0,,0.0,17,87,0,9,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,596,2,12,12,1,39622,256
Jared,Goff,Jared Goff,10/14/1994,GoffJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoffJa00_2025.jpg,2022,"[""California""]",DET,PB AP CPoY-6,QB,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,283,4438,29,7,81,63.3,99.3,65.1,73,14,2.5,4.3,0,1,5,0,5,0.3,30,78,0,7,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,596,2,12,12,1,39622,256
Jared,Goff,Jared Goff,10/14/1994,GoffJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoffJa00_2025.jpg,2023,"[""California""]",DET,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,289,4575,30,12,70,61.1,97.9,67.3,21,11,0.7,1.2,2,0,0,0,,0.0,32,21,2,6,3,0,7,0,0,,3,1,0,837,4,103.3,33,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,596,2,12,12,1,39622,256
Jared,Goff,Jared Goff,10/14/1994,GoffJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoffJa00_2025.jpg,2024,"[""California""]",DET,PB AP MVP-5 OPoY-9,QB,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true,false,323,4629,37,12,82,65.4,111.8,72.4,56,10,1.6,3.3,0,1,7,1,7,0.4,36,63,1,6,7,0,7,0,0,,7,1,3,313,1,59.7,34,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,596,2,12,12,1,39622,256
Jared,Goff,Jared Goff,10/14/1994,GoffJa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoffJa00_2025.jpg,2025,"[""California""]",DET,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,297,4564,34,8,64,57.3,105.5,68.0,45,24,2.4,2.6,0,0,0,0,,0.0,19,45,0,6,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,596,2,12,12,1,39622,256
