first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Marquise,Goodwin,Marquise Goodwin,11/19/1990,GoodMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoodMa00_2022.jpg,2013,"[""Texas""]",BUF,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,46,,,,,,,,13,17,4.3,1.1,0,17,283,3,59,23.6,20,296,3,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,191,3090,0,18,0,0
Marquise,Goodwin,Marquise Goodwin,11/19/1990,GoodMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoodMa00_2022.jpg,2014,"[""Texas""]",BUF,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,,,,,,,,8,12,2.7,0.8,0,1,42,0,42,4.2,4,50,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,191,3090,0,18,0,0
Marquise,Goodwin,Marquise Goodwin,11/19/1990,GoodMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoodMa00_2022.jpg,2015,"[""Texas""]",BUF,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,,,,,,,,0,,,0.0,0,2,24,0,14,12.0,2,24,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,191,3090,0,18,0,0
Marquise,Goodwin,Marquise Goodwin,11/19/1990,GoodMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoodMa00_2022.jpg,2016,"[""Texas""]",BUF,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,61,,,,,,,,0,,,0.0,0,29,431,3,84,28.7,29,431,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,191,3090,0,18,0,0
Marquise,Goodwin,Marquise Goodwin,11/19/1990,GoodMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoodMa00_2022.jpg,2017,"[""Texas""]",SFO,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,113,,,,,,,,44,18,11.0,2.8,0,56,962,2,83,60.1,60,1006,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,191,3090,0,18,0,0
Marquise,Goodwin,Marquise Goodwin,11/19/1990,GoodMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoodMa00_2022.jpg,2018,"[""Texas""]",SFO,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,64,,,,,,,,9,5,2.3,0.8,0,23,395,4,67,35.9,27,404,4,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,191,3090,0,18,0,0
Marquise,Goodwin,Marquise Goodwin,11/19/1990,GoodMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoodMa00_2022.jpg,2019,"[""Texas""]",SFO,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,26,,,,,,,,15,15,15.0,1.7,0,12,186,1,38,20.7,13,201,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,191,3090,0,18,0,0
Marquise,Goodwin,Marquise Goodwin,11/19/1990,GoodMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoodMa00_2022.jpg,2020,"[""Texas""]",Did not play - Opted out during COVID-19 pandemic,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,191,3090,0,18,0,0
Marquise,Goodwin,Marquise Goodwin,11/19/1990,GoodMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoodMa00_2022.jpg,2021,"[""Texas""]",CHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,37,,,,,,,,-1,1,-0.5,-0.1,0,20,313,1,50,22.4,22,312,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,191,3090,0,18,0,0
Marquise,Goodwin,Marquise Goodwin,11/19/1990,GoodMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoodMa00_2022.jpg,2022,"[""Texas""]",SEA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,63,,,,,,,,5,7,2.5,0.4,0,27,387,4,38,29.8,29,392,4,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,191,3090,0,18,0,0
Marquise,Goodwin,Marquise Goodwin,11/19/1990,GoodMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoodMa00_2022.jpg,2023,"[""Texas""]",CLE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,10,,,,,,,,33,20,8.3,2.8,0,4,67,0,57,5.6,8,100,0,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,191,3090,0,18,0,0
