first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Frank,Gore,Frank Gore,05/14/1983,GoreFr00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoreFr00_2019.jpg,2005,"[""Miami (FL)""]",SFO,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,88,,,,,,,,608,72,4.8,43.4,3,15,131,0,47,9.4,142,739,3,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,16000,484,3985,81,18,0,0
Frank,Gore,Frank Gore,05/14/1983,GoreFr00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoreFr00_2019.jpg,2006,"[""Miami (FL)""]",SFO,PB AP-2,RB,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,262,,,,,,,,1695,72,5.4,105.9,8,61,485,1,39,30.3,373,2180,9,6,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,16000,484,3985,81,18,0,0
Frank,Gore,Frank Gore,05/14/1983,GoreFr00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoreFr00_2019.jpg,2007,"[""Miami (FL)""]",SFO,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,184,,,,,,,,1102,43,4.2,73.5,5,53,436,1,23,29.1,313,1538,6,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,16000,484,3985,81,18,0,0
Frank,Gore,Frank Gore,05/14/1983,GoreFr00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoreFr00_2019.jpg,2008,"[""Miami (FL)""]",SFO,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,187,,,,,,,,1036,41,4.3,74.0,6,43,373,2,26,26.6,283,1409,8,6,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,16000,484,3985,81,18,0,0
Frank,Gore,Frank Gore,05/14/1983,GoreFr00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoreFr00_2019.jpg,2009,"[""Miami (FL)""]",SFO,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,227,,,,,,,,1120,80,4.9,80.0,10,52,406,3,48,29.0,281,1526,13,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,16000,484,3985,81,18,0,0
Frank,Gore,Frank Gore,05/14/1983,GoreFr00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoreFr00_2019.jpg,2010,"[""Miami (FL)""]",SFO,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,157,,,,,,,,853,64,4.2,77.5,3,46,452,2,41,41.1,249,1305,5,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,16000,484,3985,81,18,0,0
Frank,Gore,Frank Gore,05/14/1983,GoreFr00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoreFr00_2019.jpg,2011,"[""Miami (FL)""]",SFO,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,177,,,,,,,,1211,55,4.3,75.7,8,17,114,0,13,7.1,299,1325,8,2,163,0,42,83,0,24,246,1,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,16000,484,3985,81,18,0,0
Frank,Gore,Frank Gore,05/14/1983,GoreFr00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoreFr00_2019.jpg,2012,"[""Miami (FL)""]",SFO,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,203,,,,,,,,1214,37,4.7,75.9,8,28,234,1,26,14.6,286,1448,9,2,319,4,33,48,0,45,367,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,16000,484,3985,81,18,0,0
Frank,Gore,Frank Gore,05/14/1983,GoreFr00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoreFr00_2019.jpg,2013,"[""Miami (FL)""]",SFO,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,175,,,,,,,,1128,51,4.1,70.5,9,16,141,0,29,8.8,292,1269,9,3,164,1,39,36,0,17,200,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,16000,484,3985,81,18,0,0
Frank,Gore,Frank Gore,05/14/1983,GoreFr00,https://www.pro-football-reference.com/req/20230307/images/headshots/GoreFr00_2019.jpg,2014,"[""Miami (FL)""]",SFO,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,148,,,,,,,,1106,52,4.3,69.1,4,11,111,1,55,6.9,266,1217,5,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,16000,484,3985,81,18,0,0
