first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Daniel,Graham,Daniel Graham,11/16/1978,GrahDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Colorado""]",NWE,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,21,,,,,,,,0,,,0.0,0,15,150,1,31,12.5,15,150,1,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,224,2490,0,25,0,0
Daniel,Graham,Daniel Graham,11/16/1978,GrahDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Colorado""]",NWE,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,65,,,,,,,,0,,,0.0,0,38,409,4,38,29.2,38,409,4,0,0,0,,45,0,33,45,1,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,224,2490,0,25,0,0
Daniel,Graham,Daniel Graham,11/16/1978,GrahDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Colorado""]",NWE,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,78,,,,,,,,0,,,0.0,0,30,364,7,48,26.0,30,364,7,0,0,0,,16,0,10,16,0,,,,,,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,224,2490,0,25,0,0
Daniel,Graham,Daniel Graham,11/16/1978,GrahDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Colorado""]",NWE,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,42,,,,,,,,0,,,0.0,0,16,235,3,45,21.4,16,235,3,1,0,0,,18,0,18,18,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,224,2490,0,25,0,0
Daniel,Graham,Daniel Graham,11/16/1978,GrahDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Colorado""]",NWE,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,34,,,,,,,,0,,,0.0,0,21,235,2,29,19.6,21,235,2,1,0,0,,64,1,25,64,0,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,224,2490,0,25,0,0
Daniel,Graham,Daniel Graham,11/16/1978,GrahDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2007,"[""Colorado""]",DEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,37,,,,,,,,0,,,0.0,0,24,246,2,28,16.4,24,246,2,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,224,2490,0,25,0,0
Daniel,Graham,Daniel Graham,11/16/1978,GrahDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""Colorado""]",DEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,63,,,,,,,,0,,,0.0,0,32,389,4,28,24.3,32,389,4,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,224,2490,0,25,0,0
Daniel,Graham,Daniel Graham,11/16/1978,GrahDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2009,"[""Colorado""]",DEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,35,,,,,,,,0,,,0.0,0,28,289,1,24,18.1,28,289,1,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,224,2490,0,25,0,0
Daniel,Graham,Daniel Graham,11/16/1978,GrahDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2010,"[""Colorado""]",DEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,15,,,,,,,,0,,,0.0,0,18,148,0,28,9.3,18,148,0,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,224,2490,0,25,0,0
Daniel,Graham,Daniel Graham,11/16/1978,GrahDa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2011,"[""Colorado""]",TEN,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9,,,,,,,,0,,,0.0,0,2,25,1,21,1.6,2,25,1,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,0,224,2490,0,25,0,0
