first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Jeff,Graham,Jeff Graham,02/14/1969,GrahJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Ohio St.""]",PIT,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,,,,,,,,0,,,0.0,0,2,21,0,15,1.6,2,21,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,542,8172,0,30,0,0
Jeff,Graham,Jeff Graham,02/14/1969,GrahJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1992,"[""Ohio St.""]",PIT,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,77,,,,,,,,0,,,0.0,0,49,711,1,51,50.8,49,711,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,542,8172,0,30,0,0
Jeff,Graham,Jeff Graham,02/14/1969,GrahJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1993,"[""Ohio St.""]",PIT,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,58,,,,,,,,0,,,0.0,0,38,579,0,51,38.6,38,579,0,0,0,0,,96,0,35,96,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,542,8172,0,30,0,0
Jeff,Graham,Jeff Graham,02/14/1969,GrahJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1994,"[""Ohio St.""]",CHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,,,,,,,,0,,,0.0,0,68,944,4,76,59.0,68,944,4,1,3,0,3,141,1,52,144,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,542,8172,0,30,0,0
Jeff,Graham,Jeff Graham,02/14/1969,GrahJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1995,"[""Ohio St.""]",CHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,150,,,,,,,,0,,,0.0,0,82,1301,4,51,81.3,82,1301,4,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,542,8172,0,30,0,0
Jeff,Graham,Jeff Graham,02/14/1969,GrahJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1996,"[""Ohio St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,115,,,,,,,,0,,,0.0,0,50,788,6,78,71.6,50,788,6,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,542,8172,0,30,0,0
Jeff,Graham,Jeff Graham,02/14/1969,GrahJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""Ohio St.""]",NYJ,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,66,,,,,,,,0,,,0.0,0,42,542,2,47,33.9,42,542,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,542,8172,0,30,0,0
Jeff,Graham,Jeff Graham,02/14/1969,GrahJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""Ohio St.""]",PHI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,72,,,,,,,,0,,,0.0,0,47,600,2,45,40.0,47,600,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,542,8172,0,30,0,0
Jeff,Graham,Jeff Graham,02/14/1969,GrahJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Ohio St.""]",SDG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,109,,,,,,,,0,,,0.0,0,57,968,2,54,60.5,57,968,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,542,8172,0,30,0,0
Jeff,Graham,Jeff Graham,02/14/1969,GrahJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Ohio St.""]",SDG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,113,,,,,,,,0,,,0.0,0,55,907,4,83,64.8,55,907,4,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,542,8172,0,30,0,0
Jeff,Graham,Jeff Graham,02/14/1969,GrahJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Ohio St.""]",SDG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,109,,,,,,,,0,,,0.0,0,52,811,5,61,57.9,52,811,5,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,542,8172,0,30,0,0
