first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Mel,Gray,Mel Gray,09/28/1948,GrayMe01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1971,"[""Missouri""]",STL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,82,,,,,,,,56,38,28.0,4.0,0,18,534,4,80,38.1,20,590,4,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,154,351,6644,1,45,0,0
Mel,Gray,Mel Gray,09/28/1948,GrayMe01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1972,"[""Missouri""]",STL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,,,,,,,,0,,,0.0,0,3,62,0,33,8.9,3,62,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,154,351,6644,1,45,0,0
Mel,Gray,Mel Gray,09/28/1948,GrayMe01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1973,"[""Missouri""]",STL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,93,,,,,,,,0,,,0.0,0,29,513,7,80,42.8,29,513,7,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,154,351,6644,1,45,0,0
Mel,Gray,Mel Gray,09/28/1948,GrayMe01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1974,"[""Missouri""]",STL,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,113,,,,,,,,0,,,0.0,0,39,770,6,80,55.0,39,770,6,0,0,0,,77,0,29,77,0,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,154,351,6644,1,45,0,0
Mel,Gray,Mel Gray,09/28/1948,GrayMe01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1975,"[""Missouri""]",STL,PB AP-1,WR,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,158,,,,,,,,6,6,6.0,0.4,0,48,926,11,74,66.1,49,932,11,1,0,0,,52,1,23,52,0,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,154,351,6644,1,45,0,0
Mel,Gray,Mel Gray,09/28/1948,GrayMe01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1976,"[""Missouri""]",STL,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,99,,,,,,,,0,,,0.0,0,36,686,5,77,62.4,36,686,5,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,154,351,6644,1,45,0,0
Mel,Gray,Mel Gray,09/28/1948,GrayMe01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1977,"[""Missouri""]",STL,PB,WR,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,108,,,,,,,,-1,-1,-1.0,-0.1,0,38,782,5,69,55.9,39,781,5,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,154,351,6644,1,45,0,0
Mel,Gray,Mel Gray,09/28/1948,GrayMe01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1978,"[""Missouri""]",STL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,104,,,,,,,,51,27,10.2,3.9,1,44,871,1,74,67.0,49,922,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,154,351,6644,1,45,0,0
Mel,Gray,Mel Gray,09/28/1948,GrayMe01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""Missouri""]",STL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,54,,,,,,,,41,38,10.3,3.2,0,25,447,1,78,34.4,29,488,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,154,351,6644,1,45,0,0
Mel,Gray,Mel Gray,09/28/1948,GrayMe01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""Missouri""]",STL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,89,,,,,,,,-3,-3,-3.0,-0.2,0,40,709,3,69,44.3,41,706,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,154,351,6644,1,45,0,0
