first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Ahman,Green,Ahman Green,02/16/1977,GreeAh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""Nebraska""]",SEA,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,25,,,,,,,,209,64,6.0,13.1,1,3,2,0,3,0.1,38,211,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,9205,378,2883,60,14,20,1
Ahman,Green,Ahman Green,02/16/1977,GreeAh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Nebraska""]",SEA,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,10,,,,,,,,120,21,4.6,8.6,0,0,0,0,,0.0,26,120,0,2,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,9205,378,2883,60,14,20,1
Ahman,Green,Ahman Green,02/16/1977,GreeAh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Nebraska""]",GNB,AP CPoY-12,RB,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,243,0,0,0,,,39.6,0.0,1175,39,4.5,73.4,10,73,559,3,31,34.9,336,1734,13,6,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,9205,378,2883,60,14,20,1
Ahman,Green,Ahman Green,02/16/1977,GreeAh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Nebraska""]",GNB,PB AP-2,RB,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,256,,,,,,,,1387,83,4.6,86.7,9,62,594,2,42,37.1,366,1981,11,5,180,1,49,67,0,13,247,1,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,9205,378,2883,60,14,20,1
Ahman,Green,Ahman Green,02/16/1977,GreeAh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Nebraska""]",GNB,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,211,,,,,,,,1240,43,4.3,88.6,7,57,393,2,23,28.1,343,1633,9,4,34,0,14,3,0,3,37,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,9205,378,2883,60,14,20,1
Ahman,Green,Ahman Green,02/16/1977,GreeAh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Nebraska""]",GNB,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,335,,,,,,,,1883,98,5.3,117.7,15,50,367,5,27,22.9,405,2250,20,7,222,2,33,60,0,13,282,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,9205,378,2883,60,14,20,1
Ahman,Green,Ahman Green,02/16/1977,GreeAh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Nebraska""]",GNB,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,189,20,1,0,20,,158.3,100.0,1163,90,4.5,77.5,7,40,275,1,48,18.3,299,1438,8,7,80,0,12,16,0,14,96,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,9205,378,2883,60,14,20,1
Ahman,Green,Ahman Green,02/16/1977,GreeAh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Nebraska""]",GNB,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,40,,,,,,,,255,13,3.3,51.0,0,19,147,0,20,29.4,96,402,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,9205,378,2883,60,14,20,1
Ahman,Green,Ahman Green,02/16/1977,GreeAh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Nebraska""]",GNB,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,175,,,,,,,,1059,70,4.0,75.6,5,46,373,1,20,26.6,312,1432,6,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,9205,378,2883,60,14,20,1
Ahman,Green,Ahman Green,02/16/1977,GreeAh00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2007,"[""Nebraska""]",HOU,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,50,,,,,,,,260,18,3.7,43.3,2,14,123,0,53,20.5,84,383,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,9205,378,2883,60,14,20,1
