first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Trent,Green,Trent Green,07/09/1970,GreeTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""Indiana""]",WAS,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,,39.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,914,3,-7,6,0,28475,162
Trent,Green,Trent Green,07/09/1970,GreeTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""Indiana""]",WAS,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,221,3441,23,11,75,,81.8,54.6,117,13,2.8,7.8,2,2,-8,0,,-0.5,44,109,2,14,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,914,3,-7,6,0,28475,162
Trent,Green,Trent Green,07/09/1970,GreeTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Indiana""]",Did not play - Injured (knee),,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,914,3,-7,6,0,28475,162
Trent,Green,Trent Green,07/09/1970,GreeTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Indiana""]",STL,AP CPoY-12,QB,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,145,2063,16,5,64,,101.8,60.4,69,18,3.5,8.6,1,0,0,0,,0.0,20,69,1,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,914,3,-7,6,0,28475,162
Trent,Green,Trent Green,07/09/1970,GreeTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Indiana""]",KAN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,185,3783,17,24,67,,71.1,56.6,158,16,4.5,9.9,0,1,1,0,1,0.1,36,159,0,11,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,914,3,-7,6,0,28475,162
Trent,Green,Trent Green,07/09/1970,GreeTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Indiana""]",KAN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,256,3690,26,13,99,,92.6,61.1,225,24,7.3,14.1,1,0,0,0,,0.0,31,225,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,914,3,-7,6,0,28475,162
Trent,Green,Trent Green,07/09/1970,GreeTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Indiana""]",KAN,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,252,4039,24,12,67,,92.6,63.1,83,14,3.2,5.2,2,0,0,0,,0.0,26,83,2,5,18,0,9,0,0,,18,0,0,212,1,92.6,25,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,914,3,-7,6,0,28475,162
Trent,Green,Trent Green,07/09/1970,GreeTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Indiana""]",KAN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,260,4591,27,17,70,,95.2,66.4,85,13,3.4,5.3,0,0,0,0,,0.0,25,85,0,11,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,914,3,-7,6,0,28475,162
Trent,Green,Trent Green,07/09/1970,GreeTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Indiana""]",KAN,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,211,4014,17,10,60,,90.1,62.5,82,13,2.3,5.1,0,0,0,0,,0.0,35,82,0,8,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,914,3,-7,6,0,28475,162
Trent,Green,Trent Green,07/09/1970,GreeTr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Indiana""]",KAN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,66,1342,7,9,39,48.7,74.1,61.1,59,10,3.1,7.4,0,0,0,0,,0.0,19,59,0,5,-3,0,-3,0,0,,-3,2,2,107,1,48.4,24,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,914,3,-7,6,0,28475,162
