first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Bob,Griese,Bob Griese,02/03/1945,GrieBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1967,"[""Purdue""]",MIA,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,,2005,15,18,68,,61.6,50.2,157,22,4.2,13.1,1,0,0,0,,0.0,37,157,1,3,,,,,,,,,,,,,,false,false,true,false,true,false,false,false,true,true,false,true,true,false,false,994,0,0,7,0,25092,192
Bob,Griese,Bob Griese,02/03/1945,GrieBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1968,"[""Purdue""]",MIA,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,,2473,21,16,50,,75.7,52.4,230,35,5.5,17.7,1,0,0,0,,0.0,42,230,1,1,,,,,,,,,,,,,,false,false,true,false,true,false,false,false,true,true,false,true,true,false,false,994,0,0,7,0,25092,192
Bob,Griese,Bob Griese,02/03/1945,GrieBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1969,"[""Purdue""]",MIA,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,1695,10,16,53,,56.9,48.0,102,22,4.9,11.3,0,0,0,0,,0.0,21,102,0,5,,,,,,,,,,,,,,false,false,true,false,true,false,false,false,true,true,false,true,true,false,false,994,0,0,7,0,25092,192
Bob,Griese,Bob Griese,02/03/1945,GrieBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1970,"[""Purdue""]",MIA,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,111,2019,12,17,54,,72.1,58.0,89,16,3.4,6.4,2,0,0,0,,0.0,26,89,2,5,2,0,2,0,0,,2,2,1,155,2,75.4,24,false,false,true,false,true,false,false,false,true,true,false,true,true,false,false,994,0,0,7,0,25092,192
Bob,Griese,Bob Griese,02/03/1945,GrieBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1971,"[""Purdue""]",MIA,PB AP-1 AP MVP-4,QB,true,false,true,true,false,false,false,false,false,false,false,false,false,true,true,false,141,2089,19,9,86,,90.9,55.1,82,21,3.2,5.9,0,0,0,0,,0.0,26,82,0,9,21,0,12,0,0,,21,1,4,555,2,67.4,75,false,false,true,false,true,false,false,false,true,true,false,true,true,false,false,994,0,0,7,0,25092,192
Bob,Griese,Bob Griese,02/03/1945,GrieBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1972,"[""Purdue""]",MIA,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,638,4,4,39,,71.6,54.6,11,5,3.7,1.8,1,0,0,0,,0.0,3,11,1,0,,,,,,,,,1,158,1,95.3,52,true,false,true,false,true,false,false,false,true,true,false,true,true,false,false,994,0,0,7,0,25092,192
Bob,Griese,Bob Griese,02/03/1945,GrieBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1973,"[""Purdue""]",MIA,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,106,1422,17,8,46,,84.3,53.2,20,21,1.5,1.5,0,0,0,0,,0.0,13,20,0,5,46,0,27,0,0,,46,0,2,266,2,86.2,48,true,false,true,false,true,false,false,false,true,true,false,true,true,false,false,994,0,0,7,0,25092,192
Bob,Griese,Bob Griese,02/03/1945,GrieBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1974,"[""Purdue""]",MIA,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,120,1968,16,15,54,,80.9,60.1,66,22,4.1,5.1,1,0,0,0,,0.0,16,66,1,5,14,0,9,0,0,,14,0,1,101,1,67.9,23,false,false,true,false,true,false,false,false,true,true,false,true,true,false,false,994,0,0,7,0,25092,192
Bob,Griese,Bob Griese,02/03/1945,GrieBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1975,"[""Purdue""]",MIA,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,108,1693,14,13,79,,86.6,61.8,59,17,3.5,5.9,1,0,0,0,,0.0,17,59,1,2,,,,,,,,,,,,,,false,false,true,false,true,false,false,false,true,true,false,true,true,false,false,994,0,0,7,0,25092,192
Bob,Griese,Bob Griese,02/03/1945,GrieBo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1976,"[""Purdue""]",MIA,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,112,2097,11,12,47,,78.9,59.6,108,26,4.7,8.3,0,0,0,0,,0.0,23,108,0,3,,,,,,,,,,,,,,false,false,true,false,true,false,false,false,true,true,false,true,true,false,false,994,0,0,7,0,25092,192
