first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Brian,Griese,Brian Griese,03/18/1975,GrieBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""Michigan""]",DEN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-2,2,0,1,2,,2.8,33.3,-4,,-1.0,-4.0,0,0,0,0,,0.0,4,-4,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,582,2,-10,5,0,19440,119
Brian,Griese,Brian Griese,03/18/1975,GrieBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Michigan""]",DEN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,165,3032,14,14,88,,75.6,57.7,138,23,3.0,9.9,2,0,0,0,,0.0,46,138,2,16,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,582,2,-10,5,0,19440,119
Brian,Griese,Brian Griese,03/18/1975,GrieBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Michigan""]",DEN,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,188,2688,19,4,61,,102.9,64.3,102,18,3.5,10.2,1,0,0,0,,0.0,29,102,1,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,582,2,-10,5,0,19440,119
Brian,Griese,Brian Griese,03/18/1975,GrieBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Michigan""]",DEN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,192,2827,23,19,65,,78.5,61.0,173,24,3.5,11.5,1,1,-6,0,-6,-0.4,51,167,1,7,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,582,2,-10,5,0,19440,119
Brian,Griese,Brian Griese,03/18/1975,GrieBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Michigan""]",DEN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,175,3214,15,15,82,,85.6,66.7,107,13,2.9,8.2,1,0,0,0,,0.0,37,107,1,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,582,2,-10,5,0,19440,119
Brian,Griese,Brian Griese,03/18/1975,GrieBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Michigan""]",MIA,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,34,813,5,6,80,,69.2,56.9,15,9,3.0,3.0,0,0,0,0,,0.0,5,15,0,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,582,2,-10,5,0,19440,119
Brian,Griese,Brian Griese,03/18/1975,GrieBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Michigan""]",TAM,AP CPoY-7,QB,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,155,2632,20,12,68,,97.5,69.3,17,7,0.6,1.5,0,1,-4,0,-4,-0.4,31,13,0,6,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,582,2,-10,5,0,19440,119
Brian,Griese,Brian Griese,03/18/1975,GrieBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Michigan""]",TAM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,59,1136,7,7,80,,79.6,64.4,12,7,0.9,2.0,0,0,0,0,,0.0,13,12,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,582,2,-10,5,0,19440,119
Brian,Griese,Brian Griese,03/18/1975,GrieBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Michigan""]",CHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,220,1,2,75,14.0,62.0,56.3,-5,,-0.8,-0.8,0,0,0,0,,0.0,6,-5,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,582,2,-10,5,0,19440,119
Brian,Griese,Brian Griese,03/18/1975,GrieBr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2007,"[""Michigan""]",CHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,89,1803,10,12,81,45.2,75.6,61.5,28,9,2.2,4.0,0,0,0,0,,0.0,13,28,0,6,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,582,2,-10,5,0,19440,119
