first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Derek,Hagan,Derek Hagan,09/21/1984,HagaDe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Arizona St.""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,28,,,,,,,,0,,,0.0,0,21,221,1,24,13.8,21,221,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,148,1734,0,7,0,0
Derek,Hagan,Derek Hagan,09/21/1984,HagaDe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2007,"[""Arizona St.""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,51,,,,,,,,0,,,0.0,0,29,373,2,22,23.3,29,373,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,148,1734,0,7,0,0
Derek,Hagan,Derek Hagan,09/21/1984,HagaDe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""Arizona St.""]",2TM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,,,,,,,,0,,,0.0,0,3,51,0,20,12.8,3,51,0,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,148,1734,0,7,0,0
Derek,Hagan,Derek Hagan,09/21/1984,HagaDe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""Arizona St.""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,,,,,,,,0,,,0.0,0,3,51,0,20,12.8,3,51,0,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,148,1734,0,7,0,0
Derek,Hagan,Derek Hagan,09/21/1984,HagaDe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""Arizona St.""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,,,,,,,,0,,,,0,0,0,0,,,0,0,0,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,148,1734,0,7,0,0
Derek,Hagan,Derek Hagan,09/21/1984,HagaDe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2009,"[""Arizona St.""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,16,,,,,,,,0,,,0.0,0,8,101,1,23,6.3,8,101,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,148,1734,0,7,0,0
Derek,Hagan,Derek Hagan,09/21/1984,HagaDe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2010,"[""Arizona St.""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,28,,,,,,,,0,,,0.0,0,24,223,1,17,31.9,24,223,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,148,1734,0,7,0,0
Derek,Hagan,Derek Hagan,09/21/1984,HagaDe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2011,"[""Arizona St.""]",2TM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,31,,,,,,,,0,,,0.0,0,24,252,1,29,25.2,24,252,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,148,1734,0,7,0,0
Derek,Hagan,Derek Hagan,09/21/1984,HagaDe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2011,"[""Arizona St.""]",BUF,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,31,,,,,,,,0,,,0.0,0,13,138,1,29,34.5,13,138,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,148,1734,0,7,0,0
Derek,Hagan,Derek Hagan,09/21/1984,HagaDe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2011,"[""Arizona St.""]",OAK,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,31,,,,,,,,0,,,0.0,0,11,114,0,25,19.0,11,114,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,148,1734,0,7,0,0
