first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Jim,Harbaugh,Jim Harbaugh,12/23/1963,HarbJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Michigan"", ""View Records""]",CHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,62,0,0,21,,86.2,72.7,15,9,3.8,2.5,0,0,0,0,,0.0,4,15,0,0,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,2787,2,-8,18,0,26288,129
Jim,Harbaugh,Jim Harbaugh,12/23/1963,HarbJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Michigan"", ""View Records""]",CHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,514,0,2,56,,55.9,48.5,110,19,5.8,11.0,1,0,0,0,,0.0,19,110,1,1,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,2787,2,-8,18,0,26288,129
Jim,Harbaugh,Jim Harbaugh,12/23/1963,HarbJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Michigan"", ""View Records""]",CHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,94,1204,5,9,49,,70.5,62.4,276,26,6.1,23.0,3,0,0,0,,0.0,45,276,3,2,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,2787,2,-8,18,0,26288,129
Jim,Harbaugh,Jim Harbaugh,12/23/1963,HarbJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Michigan"", ""View Records""]",CHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,163,2178,10,6,80,,81.9,57.7,321,21,6.3,22.9,4,0,0,0,,0.0,51,321,4,8,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,2787,2,-8,18,0,26288,129
Jim,Harbaugh,Jim Harbaugh,12/23/1963,HarbJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Michigan"", ""View Records""]",CHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,193,3121,15,16,84,,73.7,57.5,338,20,4.8,21.1,2,0,0,0,,0.0,70,338,2,6,26,0,9,0,0,,26,1,2,218,1,53.0,19,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,2787,2,-8,18,0,26288,129
Jim,Harbaugh,Jim Harbaugh,12/23/1963,HarbJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1992,"[""Michigan"", ""View Records""]",CHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,155,2486,13,12,83,,76.2,56.4,272,17,5.8,17.0,1,0,0,0,,0.0,47,272,1,6,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,2787,2,-8,18,0,26288,129
Jim,Harbaugh,Jim Harbaugh,12/23/1963,HarbJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1993,"[""Michigan"", ""View Records""]",CHI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,123,2002,7,11,48,,72.1,61.5,277,25,4.6,18.5,4,1,1,0,1,0.1,61,278,4,15,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,2787,2,-8,18,0,26288,129
Jim,Harbaugh,Jim Harbaugh,12/23/1963,HarbJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1994,"[""Michigan"", ""View Records""]",IND,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,102,1440,9,6,85,,85.8,61.9,223,41,5.7,18.6,0,0,0,0,,0.0,39,223,0,1,,,,,,,,,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,2787,2,-8,18,0,26288,129
Jim,Harbaugh,Jim Harbaugh,12/23/1963,HarbJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1995,"[""Michigan"", ""View Records""]",IND,PB AP MVP-4,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,196,2575,17,5,52,,100.7,63.7,235,21,4.5,15.7,2,1,-9,0,-9,-0.6,53,226,2,4,87,1,18,0,0,,87,2,2,554,4,81.3,47,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,2787,2,-8,18,0,26288,129
Jim,Harbaugh,Jim Harbaugh,12/23/1963,HarbJi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1996,"[""Michigan"", ""View Records""]",IND,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,152,2630,13,11,51,,76.3,57.3,192,21,4.0,13.7,1,0,0,0,,0.0,48,192,1,8,6,0,3,0,0,,6,1,1,134,1,48.2,48,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,2787,2,-8,18,0,26288,129
