first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Duriel,Harris,Duriel Harris,11/27/1954,HarrDu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1976,"[""New Mexico St.""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,42,,,,,,,,0,,,0.0,0,22,372,1,44,31.0,22,372,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,302,5055,0,20,0,0
Duriel,Harris,Duriel Harris,11/27/1954,HarrDu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1977,"[""New Mexico St.""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,90,,,,,,,,0,,,0.0,0,34,601,5,47,42.9,34,601,5,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,302,5055,0,20,0,0
Duriel,Harris,Duriel Harris,11/27/1954,HarrDu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1978,"[""New Mexico St.""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,83,,,,,,,,0,,,0.0,0,45,654,3,63,40.9,45,654,3,0,0,0,,42,0,19,42,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,302,5055,0,20,0,0
Duriel,Harris,Duriel Harris,11/27/1954,HarrDu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""New Mexico St.""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,100,,,,,,,,20,20,20.0,1.3,0,42,798,3,51,53.2,43,818,3,0,0,0,,61,1,33,61,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,302,5055,0,20,0,0
Duriel,Harris,Duriel Harris,11/27/1954,HarrDu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""New Mexico St.""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,69,,,,,,,,0,,,0.0,0,33,583,2,54,48.6,33,583,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,302,5055,0,20,0,0
Duriel,Harris,Duriel Harris,11/27/1954,HarrDu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""New Mexico St.""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,103,,,,,,,,0,,,0.0,0,53,911,2,55,60.7,53,911,2,0,0,0,,106,0,30,106,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,302,5055,0,20,0,0
Duriel,Harris,Duriel Harris,11/27/1954,HarrDu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1982,"[""New Mexico St.""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,40,,,,,,,,13,13,13.0,1.4,0,22,331,1,45,36.8,23,344,1,0,1,0,1,94,0,36,95,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,302,5055,0,20,0,0
Duriel,Harris,Duriel Harris,11/27/1954,HarrDu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""New Mexico St.""]",MIA,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,32,,,,,,,,0,,0.0,0.0,0,15,260,1,64,21.7,16,260,1,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,302,5055,0,20,0,0
Duriel,Harris,Duriel Harris,11/27/1954,HarrDu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""New Mexico St.""]",2TM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,64,,,,,,,,0,,,0.0,0,33,521,2,43,32.6,33,521,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,302,5055,0,20,0,0
Duriel,Harris,Duriel Harris,11/27/1954,HarrDu00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""New Mexico St.""]",CLE,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,64,,,,,,,,0,,,0.0,0,32,512,2,43,46.5,32,512,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,302,5055,0,20,0,0
