first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Franco,Harris,Franco Harris,03/07/1950,HarrFr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1972,"[""Penn St.""]",PIT,PB AP-2 AP MVP-8 OPoY-5 ORoY-1,RB,false,true,true,true,true,true,false,true,true,true,false,false,false,false,true,false,183,,,,,,,,1055,75,5.6,75.4,10,21,180,1,29,12.9,209,1235,11,7,140,0,14,99,1,60,239,0,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,12120,307,2287,91,9,0,0
Franco,Harris,Franco Harris,03/07/1950,HarrFr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1973,"[""Penn St.""]",PIT,PB,FB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,87,,,,,,,,698,35,3.7,58.2,3,10,69,0,19,5.8,198,767,3,8,29,0,8,0,0,,29,0,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,12120,307,2287,91,9,0,0
Franco,Harris,Franco Harris,03/07/1950,HarrFr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1974,"[""Penn St.""]",PIT,PB SB MVP,FB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,148,,,,,,,,1006,54,4.8,83.8,5,23,200,1,31,16.7,231,1206,6,9,343,6,25,5,0,5,348,2,,,,,,true,true,true,true,false,false,true,false,true,true,true,true,true,false,false,12120,307,2287,91,9,0,0
Franco,Harris,Franco Harris,03/07/1950,HarrFr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1975,"[""Penn St.""]",PIT,PB AP-2,FB,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,203,,,,,,,,1246,36,4.8,89.0,10,28,214,1,44,15.3,290,1460,11,9,314,2,25,84,0,26,398,4,,,,,,true,false,true,true,false,false,true,false,true,true,true,true,true,false,false,12120,307,2287,91,9,0,0
Franco,Harris,Franco Harris,03/07/1950,HarrFr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1976,"[""Penn St.""]",PIT,PB,FB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,204,,,,,,,,1128,30,3.9,80.6,14,23,151,0,39,10.8,312,1279,14,8,132,0,50,24,0,15,156,0,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,12120,307,2287,91,9,0,0
Franco,Harris,Franco Harris,03/07/1950,HarrFr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1977,"[""Penn St.""]",PIT,PB AP-1,FB,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,178,,,,,,,,1162,61,3.9,83.0,11,11,62,0,15,4.4,311,1224,11,10,92,1,20,20,0,12,112,1,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,12120,307,2287,91,9,0,0
Franco,Harris,Franco Harris,03/07/1950,HarrFr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1978,"[""Penn St.""]",PIT,PB,FB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,167,0,0,0,,,39.6,0.0,1082,37,3.5,67.6,8,22,144,0,15,9.0,332,1226,8,4,224,4,22,22,0,22,246,3,,,,,,true,false,true,true,false,false,true,false,true,true,true,true,true,false,false,12120,307,2287,91,9,0,0
Franco,Harris,Franco Harris,03/07/1950,HarrFr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""Penn St.""]",PIT,PB,FB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,209,,,,,,,,1186,71,4.4,79.1,11,36,291,1,21,19.4,303,1477,12,11,214,3,13,148,0,32,362,0,,,,,,true,false,true,true,false,false,true,false,true,true,true,true,true,false,false,12120,307,2287,91,9,0,0
Franco,Harris,Franco Harris,03/07/1950,HarrFr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""Penn St.""]",PIT,PB,FB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,128,,,,,,,,789,26,3.8,60.7,4,30,196,2,31,15.1,238,985,6,7,,,,,,,,,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,12120,307,2287,91,9,0,0
Franco,Harris,Franco Harris,03/07/1950,HarrFr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""Penn St.""]",PIT,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,172,,,,,,,,987,50,4.1,61.7,8,37,250,1,26,15.6,279,1237,9,6,,,,,,,,,,,,,,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,12120,307,2287,91,9,0,0
