first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Marvin,Harrison,Marvin Harrison,08/25/1972,HarrMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HarrMa00_USAT_2005.jpg,1996,"[""Syracuse""]",IND,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,133,,,,,,,,15,15,5.0,0.9,0,64,836,8,41,52.3,67,851,8,1,0,0,,71,0,48,71,0,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,28,1102,14580,0,128,0,0
Marvin,Harrison,Marvin Harrison,08/25/1972,HarrMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HarrMa00_USAT_2005.jpg,1997,"[""Syracuse""]",IND,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,,,,,,,,-7,,-3.5,-0.4,0,73,866,6,44,54.1,75,859,6,2,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,28,1102,14580,0,128,0,0
Marvin,Harrison,Marvin Harrison,08/25/1972,HarrMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HarrMa00_USAT_2005.jpg,1998,"[""Syracuse""]",IND,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,122,,,,,,,,0,,,0.0,0,59,776,7,61,64.7,59,776,7,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,28,1102,14580,0,128,0,0
Marvin,Harrison,Marvin Harrison,08/25/1972,HarrMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HarrMa00_USAT_2005.jpg,1999,"[""Syracuse""]",IND,PB AP-1,WR,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,239,,,,,,,,4,4,4.0,0.3,0,115,1663,12,57,103.9,116,1667,12,2,0,0,,65,0,25,65,0,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,28,1102,14580,0,128,0,0
Marvin,Harrison,Marvin Harrison,08/25/1972,HarrMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HarrMa00_USAT_2005.jpg,2000,"[""Syracuse""]",IND,PB AP-2,WR,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,225,,,,,,,,0,,,0.0,0,102,1413,14,78,88.3,102,1413,14,2,0,0,,63,0,30,63,0,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,28,1102,14580,0,128,0,0
Marvin,Harrison,Marvin Harrison,08/25/1972,HarrMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HarrMa00_USAT_2005.jpg,2001,"[""Syracuse""]",IND,PB AP-2,WR,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,243,,,,,,,,3,3,3.0,0.2,0,109,1524,15,68,95.3,110,1527,15,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,28,1102,14580,0,128,0,0
Marvin,Harrison,Marvin Harrison,08/25/1972,HarrMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HarrMa00_USAT_2005.jpg,2002,"[""Syracuse""]",IND,PB AP-1 AP OPoY-2,WR,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,241,,,,,,,,10,8,5.0,0.6,0,143,1722,11,69,107.6,145,1732,11,0,0,0,,47,0,17,47,0,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,28,1102,14580,0,128,0,0
Marvin,Harrison,Marvin Harrison,08/25/1972,HarrMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HarrMa00_USAT_2005.jpg,2003,"[""Syracuse""]",IND,PB AP-2,WR,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,186,,,,,,,,3,3,3.0,0.2,0,94,1272,10,79,84.8,95,1275,10,2,0,0,,250,2,46,250,1,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,28,1102,14580,0,128,0,0
Marvin,Harrison,Marvin Harrison,08/25/1972,HarrMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HarrMa00_USAT_2005.jpg,2004,"[""Syracuse""]",IND,PB AP-2,WR,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,199,,,,,,,,0,,,0.0,0,86,1113,15,59,69.6,86,1113,15,1,0,0,,95,0,24,95,0,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,28,1102,14580,0,128,0,0
Marvin,Harrison,Marvin Harrison,08/25/1972,HarrMa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HarrMa00_USAT_2005.jpg,2005,"[""Syracuse""]",IND,PB AP-2,WR,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,187,,,,,,,,0,,,0.0,0,82,1146,12,80,76.4,82,1146,12,0,0,0,,52,0,24,52,0,,,,,,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,28,1102,14580,0,128,0,0
