first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Todd,Heap,Todd Heap,03/16/1980,HeapTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Arizona St.""]",BAL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,25,,,,,,,,0,,,0.0,0,16,206,1,24,17.2,16,206,1,1,0,0,,11,0,11,11,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,61,499,5869,0,42,0,0
Todd,Heap,Todd Heap,03/16/1980,HeapTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Arizona St.""]",BAL,PB,TE,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,125,0,0,0,,,39.6,0.0,38,15,9.5,2.4,0,68,836,6,43,52.3,72,874,6,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,61,499,5869,0,42,0,0
Todd,Heap,Todd Heap,03/16/1980,HeapTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Arizona St.""]",BAL,PB AP-2,TE,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,97,,,,,,,,21,9,7.0,1.3,0,57,693,3,33,43.3,60,714,3,1,0,0,,80,1,35,80,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,61,499,5869,0,42,0,0
Todd,Heap,Todd Heap,03/16/1980,HeapTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Arizona St.""]",BAL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,48,,,,,,,,0,,,0.0,0,27,303,3,37,50.5,27,303,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,61,499,5869,0,42,0,0
Todd,Heap,Todd Heap,03/16/1980,HeapTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Arizona St.""]",BAL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,,,,,,,,0,,,0.0,0,75,855,7,48,53.4,75,855,7,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,61,499,5869,0,42,0,0
Todd,Heap,Todd Heap,03/16/1980,HeapTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Arizona St.""]",BAL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,113,,,,,,,,0,,,0.0,0,73,765,6,30,47.8,73,765,6,0,0,0,,28,0,23,28,1,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,61,499,5869,0,42,0,0
Todd,Heap,Todd Heap,03/16/1980,HeapTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2007,"[""Arizona St.""]",BAL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,30,,,,,,,,0,,,0.0,0,23,239,1,37,39.8,23,239,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,61,499,5869,0,42,0,0
Todd,Heap,Todd Heap,03/16/1980,HeapTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2008,"[""Arizona St.""]",BAL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,56,,,,,,,,0,,,0.0,0,35,403,3,30,25.2,35,403,3,1,0,0,,80,0,31,80,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,61,499,5869,0,42,0,0
Todd,Heap,Todd Heap,03/16/1980,HeapTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2009,"[""Arizona St.""]",BAL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,96,,,,,,,,2,2,2.0,0.1,0,53,593,6,31,37.1,54,595,6,1,0,0,,35,0,11,35,1,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,61,499,5869,0,42,0,0
Todd,Heap,Todd Heap,03/16/1980,HeapTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2010,"[""Arizona St.""]",BAL,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,90,,,,,,,,0,,,0.0,0,40,599,5,65,46.1,40,599,5,1,0,0,,151,1,21,151,0,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,61,499,5869,0,42,0,0
Todd,Heap,Todd Heap,03/16/1980,HeapTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2011,"[""Arizona St.""]",ARI,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,34,,,,,,,,0,,,0.0,0,24,283,1,28,28.3,24,283,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,61,499,5869,0,42,0,0
Todd,Heap,Todd Heap,03/16/1980,HeapTo00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2012,"[""Arizona St.""]",ARI,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9,,,,,,,,0,,,0.0,0,8,94,0,28,47.0,8,94,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,61,499,5869,0,42,0,0
