first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Garrison,Hearst,Garrison Hearst,01/04/1971,HearGa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1993,"[""Georgia""]",PHO,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,30,0,0,1,,,0.0,0.0,264,57,3.5,44.0,1,6,18,0,9,3.0,82,282,1,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,7966,229,2065,30,9,26,1
Garrison,Hearst,Garrison Hearst,01/04/1971,HearGa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1994,"[""Georgia""]",ARI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,32,10,1,0,10,,147.9,100.0,169,36,4.6,21.1,1,6,49,0,29,6.1,43,218,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,7966,229,2065,30,9,26,1
Garrison,Hearst,Garrison Hearst,01/04/1971,HearGa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1995,"[""Georgia""]",ARI,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,128,16,0,0,16,,77.1,50.0,1070,38,3.8,66.9,1,29,243,1,39,15.2,313,1313,2,12,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,7966,229,2065,30,9,26,1
Garrison,Hearst,Garrison Hearst,01/04/1971,HearGa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1996,"[""Georgia""]",CIN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,106,,,,,,,,847,24,3.8,52.9,0,12,131,1,40,8.2,237,978,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,7966,229,2065,30,9,26,1
Garrison,Hearst,Garrison Hearst,01/04/1971,HearGa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""Georgia""]",SFO,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,155,,,,,,,,1019,51,4.4,78.4,4,21,194,2,69,14.9,255,1213,6,2,12,0,9,14,0,19,26,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,7966,229,2065,30,9,26,1
Garrison,Hearst,Garrison Hearst,01/04/1971,HearGa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""Georgia""]",SFO,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,261,,,,,,,,1570,96,5.1,98.1,7,39,535,2,81,33.4,349,2105,9,4,135,0,24,15,0,7,150,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,7966,229,2065,30,9,26,1
Garrison,Hearst,Garrison Hearst,01/04/1971,HearGa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Georgia""]",Did not play - Injured (avascular necrosis),,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,7966,229,2065,30,9,26,1
Garrison,Hearst,Garrison Hearst,01/04/1971,HearGa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Georgia""]",Did not play - Injured (avascular necrosis),,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,7966,229,2065,30,9,26,1
Garrison,Hearst,Garrison Hearst,01/04/1971,HearGa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Georgia""]",SFO,PB AP CPoY-1,RB,false,false,false,true,false,false,false,false,false,false,true,true,true,false,false,false,183,,,,,,,,1206,43,4.8,75.4,4,41,347,1,60,21.7,293,1553,5,1,42,1,11,26,0,22,68,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,7966,229,2065,30,9,26,1
Garrison,Hearst,Garrison Hearst,01/04/1971,HearGa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Georgia""]",SFO,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,179,,,,,,,,972,40,4.5,60.8,8,48,317,1,16,19.8,263,1289,9,4,70,0,14,32,0,13,102,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,7966,229,2065,30,9,26,1
Garrison,Hearst,Garrison Hearst,01/04/1971,HearGa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Georgia""]",SFO,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,118,,,,,,,,768,36,4.3,64.0,3,25,211,1,26,17.6,203,979,4,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,7966,229,2065,30,9,26,1
Garrison,Hearst,Garrison Hearst,01/04/1971,HearGa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Georgia""]",DEN,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,16,,,,,,,,81,11,4.1,11.6,1,2,20,0,15,2.9,22,101,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,7966,229,2065,30,9,26,1
