first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
William,Henderson,William Henderson,02/19/1971,HendWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1995,"[""North Carolina""]",GNB,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,,,,,,,,35,17,5.0,2.3,0,3,21,0,9,1.4,10,56,0,0,2,0,2,4,0,4,6,0,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,426,320,2409,5,14,0,0
William,Henderson,William Henderson,02/19/1971,HendWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1996,"[""North Carolina""]",GNB,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,39,,,,,,,,130,14,3.3,8.1,0,27,203,1,27,12.7,66,333,1,1,6,0,4,18,0,8,24,0,,,,,,true,false,true,false,false,false,false,false,false,true,false,true,true,false,false,426,320,2409,5,14,0,0
William,Henderson,William Henderson,02/19/1971,HendWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""North Carolina""]",GNB,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,52,,,,,,,,113,15,3.6,7.1,0,41,367,1,25,22.9,72,480,1,1,6,0,3,24,0,7,30,0,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,426,320,2409,5,14,0,0
William,Henderson,William Henderson,02/19/1971,HendWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""North Carolina""]",GNB,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,47,,,,,,,,70,9,3.0,4.4,2,37,241,1,15,15.1,60,311,3,1,0,0,,55,0,33,55,0,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,426,320,2409,5,14,0,0
William,Henderson,William Henderson,02/19/1971,HendWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""North Carolina""]",GNB,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,39,,,,,,,,29,10,4.1,1.8,2,30,203,1,22,12.7,37,232,3,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,426,320,2409,5,14,0,0
William,Henderson,William Henderson,02/19/1971,HendWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""North Carolina""]",GNB,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,,,,,,,,16,12,8.0,1.0,0,35,234,1,25,14.6,37,250,1,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,426,320,2409,5,14,0,0
William,Henderson,William Henderson,02/19/1971,HendWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""North Carolina""]",GNB,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,20,,,,,,,,11,4,1.8,0.7,0,21,193,0,26,12.1,27,204,0,0,7,0,7,22,0,12,29,0,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,426,320,2409,5,14,0,0
William,Henderson,William Henderson,02/19/1971,HendWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""North Carolina""]",GNB,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,44,,,,,,,,27,10,3.9,1.8,1,26,168,3,17,11.2,33,195,4,0,0,0,,6,0,6,6,0,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,426,320,2409,5,14,0,0
William,Henderson,William Henderson,02/19/1971,HendWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""North Carolina""]",GNB,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,39,,,,,,,,0,,,0.0,0,24,214,3,22,13.4,24,214,3,0,0,0,,42,0,29,42,0,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,426,320,2409,5,14,0,0
William,Henderson,William Henderson,02/19/1971,HendWi00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""North Carolina""]",GNB,PB AP-1,FB,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,42,,,,,,,,0,,,0.0,0,34,239,3,38,14.9,34,239,3,0,0,0,,27,0,17,27,0,,,,,,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,426,320,2409,5,14,0,0
