first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Mark,Herrmann,Mark Herrmann,01/08/1959,HerrMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1982,"[""Purdue""]",DEN,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,19,421,1,4,39,,53.5,53.3,7,6,2.3,3.5,1,0,0,0,,0.0,3,7,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-1,0,0,1,0,4015,16
Mark,Herrmann,Mark Herrmann,01/08/1959,HerrMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Purdue""]",BAL,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,256,0,3,35,,38.7,50.0,0,,0.0,0.0,0,0,0,0,,0.0,1,0,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-1,0,0,1,0,4015,16
Mark,Herrmann,Mark Herrmann,01/08/1959,HerrMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Purdue""]",IND,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,352,1,6,74,,37.8,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-1,0,0,1,0,4015,16
Mark,Herrmann,Mark Herrmann,01/08/1959,HerrMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Purdue""]",SDG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,73,1537,10,10,59,,84.5,65.7,-8,11,-0.4,-0.9,0,0,0,0,,0.0,18,-8,0,8,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-1,0,0,1,0,4015,16
Mark,Herrmann,Mark Herrmann,01/08/1959,HerrMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Purdue""]",SDG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,26,627,2,3,28,,66.8,52.6,6,6,3.0,1.0,0,0,0,0,,0.0,2,6,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-1,0,0,1,0,4015,16
Mark,Herrmann,Mark Herrmann,01/08/1959,HerrMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Purdue""]",SDG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9,405,1,5,34,,55.1,64.9,-1,,-0.3,-0.3,0,0,0,0,,0.0,4,-1,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-1,0,0,1,0,4015,16
Mark,Herrmann,Mark Herrmann,01/08/1959,HerrMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Purdue""]",RAM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,38,0,0,15,,98.3,80.0,-1,-1,-1.0,-0.2,0,0,0,0,,0.0,1,-1,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-1,0,0,1,0,4015,16
Mark,Herrmann,Mark Herrmann,01/08/1959,HerrMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Purdue""]",RAM,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-2,59,0,1,23,,76.2,80.0,-1,,-0.5,-0.3,0,0,0,0,,0.0,2,-1,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-1,0,0,1,0,4015,16
Mark,Herrmann,Mark Herrmann,01/08/1959,HerrMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Purdue""]",IND,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,6,0,0,6,,91.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-1,0,0,1,0,4015,16
Mark,Herrmann,Mark Herrmann,01/08/1959,HerrMa00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Purdue""]",IND,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-1,137,0,3,26,,40.8,57.9,-1,-1,-1.0,-0.5,0,0,0,0,,0.0,1,-1,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,-1,0,0,1,0,4015,16
