first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Craig,Heyward,Craig Heyward,09/26/1966,HeywCr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Pittsburgh""]",NOR,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,52,,,,,,,,355,73,4.8,32.3,1,13,105,0,18,9.5,87,460,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,4301,177,1559,30,4,44,0
Craig,Heyward,Craig Heyward,09/26/1966,HeywCr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Pittsburgh""]",NOR,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,29,,,,,,,,183,15,3.7,11.4,1,13,69,0,12,4.3,62,252,1,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,4301,177,1559,30,4,44,0
Craig,Heyward,Craig Heyward,09/26/1966,HeywCr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Pittsburgh""]",NOR,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,91,0,0,1,,,0.0,0.0,599,47,4.6,37.4,4,18,121,0,12,7.6,147,720,4,3,10,0,6,0,0,,10,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,4301,177,1559,30,4,44,0
Craig,Heyward,Craig Heyward,09/26/1966,HeywCr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Pittsburgh""]",NOR,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,61,44,0,0,44,,118.7,100.0,260,15,3.4,37.1,4,4,34,1,22,4.9,80,294,5,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,4301,177,1559,30,4,44,0
Craig,Heyward,Craig Heyward,09/26/1966,HeywCr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1992,"[""Pittsburgh""]",NOR,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,75,,,,,,,,416,23,4.0,26.0,3,19,159,0,21,9.9,123,575,3,1,23,1,4,45,0,25,68,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,4301,177,1559,30,4,44,0
Craig,Heyward,Craig Heyward,09/26/1966,HeywCr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1993,"[""Pittsburgh""]",CHI,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,33,,,,,,,,206,11,3.0,12.9,0,16,132,0,20,8.3,84,338,0,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,4301,177,1559,30,4,44,0
Craig,Heyward,Craig Heyward,09/26/1966,HeywCr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1994,"[""Pittsburgh""]",ATL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,149,,,,,,,,779,17,4.3,48.7,7,32,335,1,34,20.9,215,1114,8,5,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,4301,177,1559,30,4,44,0
Craig,Heyward,Craig Heyward,09/26/1966,HeywCr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1995,"[""Pittsburgh""]",ATL,PB,RB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,191,,,,,,,,1083,31,4.6,67.7,6,37,350,2,25,21.9,273,1433,8,3,21,0,10,20,0,15,41,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,4301,177,1559,30,4,44,0
Craig,Heyward,Craig Heyward,09/26/1966,HeywCr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1996,"[""Pittsburgh""]",ATL,,RB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,67,,,,,,,,321,34,4.5,21.4,3,16,168,0,25,11.2,88,489,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,4301,177,1559,30,4,44,0
Craig,Heyward,Craig Heyward,09/26/1966,HeywCr00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""Pittsburgh""]",STL,,FB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,20,,,,,,,,84,8,2.5,5.3,1,8,77,0,25,4.8,42,161,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,4301,177,1559,30,4,44,0
