first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Darrius,Heyward-Bey,Darrius Heyward-Bey,02/26/1987,HeywDa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HeywDa00_2018.jpg,2009,"[""Maryland""]",OAK,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,20,,,,,,,,19,20,9.5,1.7,0,9,124,1,24,11.3,11,143,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,194,202,2897,2,16,0,0
Darrius,Heyward-Bey,Darrius Heyward-Bey,02/26/1987,HeywDa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HeywDa00_2018.jpg,2010,"[""Maryland""]",OAK,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,45,,,,,,,,48,30,12.0,3.2,0,26,366,1,69,24.4,30,414,1,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,194,202,2897,2,16,0,0
Darrius,Heyward-Bey,Darrius Heyward-Bey,02/26/1987,HeywDa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HeywDa00_2018.jpg,2011,"[""Maryland""]",OAK,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,120,,,,,,,,0,,,0.0,0,64,975,4,58,65.0,64,975,4,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,194,202,2897,2,16,0,0
Darrius,Heyward-Bey,Darrius Heyward-Bey,02/26/1987,HeywDa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HeywDa00_2018.jpg,2012,"[""Maryland""]",OAK,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,92,,,,,,,,16,20,8.0,1.1,0,41,606,5,59,40.4,43,622,5,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,194,202,2897,2,16,0,0
Darrius,Heyward-Bey,Darrius Heyward-Bey,02/26/1987,HeywDa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HeywDa00_2018.jpg,2013,"[""Maryland""]",IND,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,42,,,,,,,,26,30,8.7,1.6,0,29,309,1,27,19.3,32,335,1,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,194,202,2897,2,16,0,0
Darrius,Heyward-Bey,Darrius Heyward-Bey,02/26/1987,HeywDa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HeywDa00_2018.jpg,2014,"[""Maryland""]",PIT,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,0,,,0.0,0,3,33,0,17,2.1,3,33,0,1,0,0,,6,0,6,6,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,194,202,2897,2,16,0,0
Darrius,Heyward-Bey,Darrius Heyward-Bey,02/26/1987,HeywDa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HeywDa00_2018.jpg,2015,"[""Maryland""]",PIT,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,43,,,,,,,,0,,,0.0,0,21,314,2,66,19.6,21,314,2,0,0,0,,64,0,58,64,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,194,202,2897,2,16,0,0
Darrius,Heyward-Bey,Darrius Heyward-Bey,02/26/1987,HeywDa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HeywDa00_2018.jpg,2016,"[""Maryland""]",PIT,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,35,,,,,,,,60,60,60.0,6.0,1,6,114,2,46,11.4,7,174,3,0,0,0,,10,0,10,10,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,194,202,2897,2,16,0,0
Darrius,Heyward-Bey,Darrius Heyward-Bey,02/26/1987,HeywDa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HeywDa00_2018.jpg,2017,"[""Maryland""]",PIT,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,14,,,,,,,,32,29,16.0,2.0,1,2,47,0,44,2.9,4,79,1,0,0,0,,0,0,,0,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,194,202,2897,2,16,0,0
Darrius,Heyward-Bey,Darrius Heyward-Bey,02/26/1987,HeywDa00,https://www.pro-football-reference.com/req/20230307/images/headshots/HeywDa00_2018.jpg,2018,"[""Maryland""]",PIT,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,-7,-7,-7.0,-0.5,0,1,9,0,9,0.6,2,2,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,194,202,2897,2,16,0,0
