first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Ike,Hilliard,Ike Hilliard,04/05/1976,HillIk00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1997,"[""Florida""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4,,,,,,,,0,,,0.0,0,2,42,0,23,21.0,2,42,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,546,6397,0,35,0,0
Ike,Hilliard,Ike Hilliard,04/05/1976,HillIk00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1998,"[""Florida""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,80,,,,,,,,4,4,4.0,0.3,0,51,715,2,50,44.7,52,719,2,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,546,6397,0,35,0,0
Ike,Hilliard,Ike Hilliard,04/05/1976,HillIk00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1999,"[""Florida""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,119,,,,,,,,16,24,5.3,1.0,0,72,996,3,46,62.3,75,1012,3,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,546,6397,0,35,0,0
Ike,Hilliard,Ike Hilliard,04/05/1976,HillIk00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2000,"[""Florida""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,129,,,,,,,,19,17,6.3,1.4,0,55,787,8,59,56.2,58,806,8,0,-1,0,-1,220,2,46,219,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,546,6397,0,35,0,0
Ike,Hilliard,Ike Hilliard,04/05/1976,HillIk00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2001,"[""Florida""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,104,,,,,,,,21,21,21.0,1.5,0,52,659,6,38,47.1,53,680,6,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,546,6397,0,35,0,0
Ike,Hilliard,Ike Hilliard,04/05/1976,HillIk00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2002,"[""Florida""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,51,,,,,,,,7,7,7.0,1.0,0,27,386,2,38,55.1,28,393,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,546,6397,0,35,0,0
Ike,Hilliard,Ike Hilliard,04/05/1976,HillIk00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2003,"[""Florida""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,95,,,,,,,,19,13,9.5,1.5,0,60,608,6,38,46.8,62,627,6,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,546,6397,0,35,0,0
Ike,Hilliard,Ike Hilliard,04/05/1976,HillIk00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2004,"[""Florida""]",NYG,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,45,,,,,,,,34,17,11.3,2.1,0,49,437,0,43,27.3,52,471,0,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,546,6397,0,35,0,0
Ike,Hilliard,Ike Hilliard,04/05/1976,HillIk00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2005,"[""Florida""]",TAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,34,,,,,,,,0,,,0.0,0,35,282,1,22,17.6,35,282,1,0,0,0,,38,0,19,38,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,546,6397,0,35,0,0
Ike,Hilliard,Ike Hilliard,04/05/1976,HillIk00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,2006,"[""Florida""]",TAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,46,,,,,,,,0,,,0.0,0,34,339,2,44,21.2,34,339,2,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,546,6397,0,35,0,0
