first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Pete,Holohan,Pete Holohan,07/25/1959,HoloPe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""Notre Dame""]",SDG,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,,,,,,,,0,,,0.0,0,1,14,0,14,2.0,1,14,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,363,3981,0,16,46,1
Pete,Holohan,Pete Holohan,07/25/1959,HoloPe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1982,"[""Notre Dame""]",SDG,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,0,0,0,,8,0,8,8,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,363,3981,0,16,46,1
Pete,Holohan,Pete Holohan,07/25/1959,HoloPe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Notre Dame""]",SDG,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,39,0,0,0,,,39.6,0.0,0,,,0.0,0,23,272,2,35,17.0,23,272,2,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,363,3981,0,16,46,1
Pete,Holohan,Pete Holohan,07/25/1959,HoloPe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Notre Dame""]",SDG,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,84,25,1,0,25,,135.4,50.0,0,,,0.0,0,56,734,1,51,48.9,56,734,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,363,3981,0,16,46,1
Pete,Holohan,Pete Holohan,07/25/1959,HoloPe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Notre Dame""]",SDG,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,63,0,0,0,,,39.6,0.0,0,,,0.0,0,42,458,3,23,30.5,42,458,3,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,363,3981,0,16,46,1
Pete,Holohan,Pete Holohan,07/25/1959,HoloPe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Notre Dame""]",SDG,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,42,21,0,0,21,,87.5,50.0,0,,,0.0,0,29,356,1,34,22.3,29,356,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,363,3981,0,16,46,1
Pete,Holohan,Pete Holohan,07/25/1959,HoloPe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Notre Dame""]",SDG,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,24,,,,,,,,0,,,0.0,0,20,239,0,18,19.9,20,239,0,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,363,3981,0,16,46,1
Pete,Holohan,Pete Holohan,07/25/1959,HoloPe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Notre Dame""]",RAM,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,81,,,,,,,,0,,,0.0,0,59,640,3,29,40.0,59,640,3,1,0,0,,44,1,24,44,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,363,3981,0,16,46,1
Pete,Holohan,Pete Holohan,07/25/1959,HoloPe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Notre Dame""]",RAM,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,62,,,,,,,,3,3,3.0,0.2,0,51,510,2,31,31.9,52,513,2,1,0,0,,111,0,18,111,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,363,3981,0,16,46,1
Pete,Holohan,Pete Holohan,07/25/1959,HoloPe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Notre Dame""]",RAM,,TE,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,58,,,,,,,,0,,,0.0,0,49,475,2,28,29.7,49,475,2,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3,363,3981,0,16,46,1
