first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
DeAndre,Hopkins,DeAndre Hopkins,06/06/1992,HopkDe00,https://www.pro-football-reference.com/req/20230307/images/headshots/HopkDe00_2025.jpg,2013,"[""Clemson""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,90,,,,,,,,0,,,0.0,0,52,802,2,66,50.1,52,802,2,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,21,1006,13295,0,85,6,1
DeAndre,Hopkins,DeAndre Hopkins,06/06/1992,HopkDe00,https://www.pro-football-reference.com/req/20230307/images/headshots/HopkDe00_2025.jpg,2014,"[""Clemson""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,155,,,,,,,,0,,,0.0,0,76,1210,6,76,75.6,76,1210,6,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,21,1006,13295,0,85,6,1
DeAndre,Hopkins,DeAndre Hopkins,06/06/1992,HopkDe00,https://www.pro-football-reference.com/req/20230307/images/headshots/HopkDe00_2025.jpg,2015,"[""Clemson""]",HOU,PB AP-2,WR,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,220,,,,,,,,0,,,0.0,0,111,1521,11,61,95.1,111,1521,11,1,0,0,,69,0,17,69,0,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,21,1006,13295,0,85,6,1
DeAndre,Hopkins,DeAndre Hopkins,06/06/1992,HopkDe00,https://www.pro-football-reference.com/req/20230307/images/headshots/HopkDe00_2025.jpg,2016,"[""Clemson""]",HOU,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,119,,,,,,,,0,,,0.0,0,78,954,4,51,59.6,78,954,4,0,0,0,,132,1,38,132,0,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,21,1006,13295,0,85,6,1
DeAndre,Hopkins,DeAndre Hopkins,06/06/1992,HopkDe00,https://www.pro-football-reference.com/req/20230307/images/headshots/HopkDe00_2025.jpg,2017,"[""Clemson""]",HOU,PB AP-1 AP OPoY-4,WR,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,214,,,,,,,,0,,,0.0,0,96,1378,13,72,91.9,96,1378,13,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,21,1006,13295,0,85,6,1
DeAndre,Hopkins,DeAndre Hopkins,06/06/1992,HopkDe00,https://www.pro-football-reference.com/req/20230307/images/headshots/HopkDe00_2025.jpg,2018,"[""Clemson""]",HOU,PB AP-1 AP OPoY-3,WR,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,219,0,0,0,,3.7,39.6,0.0,-7,-7,-7.0,-0.4,0,115,1572,11,49,98.3,116,1565,11,2,0,0,,37,0,13,37,0,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,21,1006,13295,0,85,6,1
DeAndre,Hopkins,DeAndre Hopkins,06/06/1992,HopkDe00,https://www.pro-football-reference.com/req/20230307/images/headshots/HopkDe00_2025.jpg,2019,"[""Clemson""]",HOU,PB AP-1,WR,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,165,6,1,1,6,0.0,56.2,50.0,18,12,9.0,1.2,0,104,1165,7,43,77.7,106,1183,7,0,0,0,,208,0,41,208,2,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,21,1006,13295,0,85,6,1
DeAndre,Hopkins,DeAndre Hopkins,06/06/1992,HopkDe00,https://www.pro-football-reference.com/req/20230307/images/headshots/HopkDe00_2025.jpg,2020,"[""Clemson""]",ARI,PB AP-2,WR,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,173,,,,,,,,1,1,1.0,0.1,0,115,1407,6,60,87.9,116,1408,6,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,21,1006,13295,0,85,6,1
DeAndre,Hopkins,DeAndre Hopkins,06/06/1992,HopkDe00,https://www.pro-football-reference.com/req/20230307/images/headshots/HopkDe00_2025.jpg,2021,"[""Clemson""]",ARI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,105,,,,,,,,0,,,0.0,0,42,572,8,55,57.2,42,572,8,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,21,1006,13295,0,85,6,1
DeAndre,Hopkins,DeAndre Hopkins,06/06/1992,HopkDe00,https://www.pro-football-reference.com/req/20230307/images/headshots/HopkDe00_2025.jpg,2022,"[""Clemson""]",ARI,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,88,,,,,,,,0,,,0.0,0,64,717,3,33,79.7,64,717,3,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,21,1006,13295,0,85,6,1
