first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Jeff,Hostetler,Jeff Hostetler,04/22/1961,HostJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Penn St."", ""West Virginia""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,1391,1,10,17,0,16430,94
Jeff,Hostetler,Jeff Hostetler,04/22/1961,HostJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Penn St."", ""West Virginia""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,,,,1,1,1.0,0.1,0,0,0,0,,0.0,1,1,0,0,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,1391,1,10,17,0,16430,94
Jeff,Hostetler,Jeff Hostetler,04/22/1961,HostJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Penn St."", ""West Virginia""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9,244,1,2,85,,65.9,55.2,-3,,-0.6,-0.2,0,1,10,0,10,0.6,6,7,0,1,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,1391,1,10,17,0,16430,94
Jeff,Hostetler,Jeff Hostetler,04/22/1961,HostJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Penn St."", ""West Virginia""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,37,294,3,2,35,,80.5,51.3,71,19,6.5,4.4,2,0,0,0,,0.0,11,71,2,2,,,,,,,,,,0,0,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,1391,1,10,17,0,16430,94
Jeff,Hostetler,Jeff Hostetler,04/22/1961,HostJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Penn St."", ""West Virginia""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,62,614,3,1,44,,83.2,54.0,190,30,4.9,11.9,2,0,0,0,,0.0,39,190,2,4,64,1,11,0,0,,64,1,0,510,3,92.5,25,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,1391,1,10,17,0,16430,94
Jeff,Hostetler,Jeff Hostetler,04/22/1961,HostJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1991,"[""Penn St."", ""West Virginia""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,126,2032,5,4,55,,84.1,62.8,273,47,6.5,22.8,2,0,0,0,,0.0,42,273,2,7,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,1391,1,10,17,0,16430,94
Jeff,Hostetler,Jeff Hostetler,04/22/1961,HostJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1992,"[""Penn St."", ""West Virginia""]",NYG,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,104,1225,8,3,46,,80.8,53.6,172,27,4.9,13.2,3,0,0,0,,0.0,35,172,3,6,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,1391,1,10,17,0,16430,94
Jeff,Hostetler,Jeff Hostetler,04/22/1961,HostJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1993,"[""Penn St."", ""West Virginia""]",RAI,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,210,3242,14,10,74,,82.5,56.3,202,19,3.7,13.5,5,0,0,0,,0.0,55,202,5,6,34,0,12,0,0,,34,1,0,524,4,146.0,86,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,1391,1,10,17,0,16430,94
Jeff,Hostetler,Jeff Hostetler,04/22/1961,HostJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1994,"[""Penn St."", ""West Virginia""]",RAI,PB,QB,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,199,3334,20,16,77,,80.8,57.8,159,14,3.5,9.9,2,0,0,0,,0.0,46,159,2,10,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,1391,1,10,17,0,16430,94
Jeff,Hostetler,Jeff Hostetler,04/22/1961,HostJe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1995,"[""Penn St."", ""West Virginia""]",OAK,,QB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,120,1998,12,9,80,,82.2,60.1,119,18,3.8,10.8,0,0,0,0,,0.0,31,119,0,5,,,,,,,,,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,1391,1,10,17,0,16430,94
