first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Kevin,House,Kevin House,12/20/1957,HousKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""Southern Illinois""]",TAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,85,,,,,,,,32,32,32.0,2.3,0,24,531,5,61,37.9,25,563,5,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,299,5169,0,34,0,0
Kevin,House,Kevin House,12/20/1957,HousKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""Southern Illinois""]",TAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,171,0,0,0,,,39.6,0.0,9,8,4.5,0.6,0,56,1176,9,84,73.5,58,1185,9,2,0,0,,10,0,10,10,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,299,5169,0,34,0,0
Kevin,House,Kevin House,12/20/1957,HousKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1982,"[""Southern Illinois""]",TAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,55,,,,,,,,-1,-1,-1.0,-0.1,0,28,438,2,62,48.7,29,437,2,1,0,0,,52,0,20,52,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,299,5169,0,34,0,0
Kevin,House,Kevin House,12/20/1957,HousKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Southern Illinois""]",TAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,107,,,,,,,,-4,-4,-4.0,-0.3,0,47,769,5,74,48.1,48,765,5,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,299,5169,0,34,0,0
Kevin,House,Kevin House,12/20/1957,HousKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Southern Illinois""]",TAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,131,,,,,,,,0,,,0.0,0,76,1005,5,55,62.8,76,1005,5,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,299,5169,0,34,0,0
Kevin,House,Kevin House,12/20/1957,HousKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Southern Illinois""]",TAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,110,,,,,,,,0,,,0.0,0,44,803,5,59,50.2,44,803,5,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,299,5169,0,34,0,0
Kevin,House,Kevin House,12/20/1957,HousKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Southern Illinois""]",2TM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,51,0,0,0,,,,,5,4,2.5,0.3,0,18,384,2,60,25.6,20,389,2,0,0,0,,70,1,45,70,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,299,5169,0,34,0,0
Kevin,House,Kevin House,12/20/1957,HousKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Southern Illinois""]",RAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,51,0,0,0,,,,,0,,,0.0,0,7,178,2,60,22.3,7,178,2,0,0,0,,70,1,45,70,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,299,5169,0,34,0,0
Kevin,House,Kevin House,12/20/1957,HousKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Southern Illinois""]",TAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,51,,,,,,,,5,4,2.5,0.7,0,11,206,0,40,29.4,13,211,0,0,0,0,,70,1,45,70,0,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,299,5169,0,34,0,0
Kevin,House,Kevin House,12/20/1957,HousKe00,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Southern Illinois""]",RAM,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,12,,,,,,,,0,,,0.0,0,6,63,1,15,5.3,6,63,1,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,41,299,5169,0,34,0,0
